projectID_PIMS+,projectID_Atlas,Latitude,Longitude
6163,,36.36500,6.61472
6163,,36.19111,5.41361
5673,,n/a,n/a
5673,,n/a,n/a
5673,,n/a,n/a
5673,,n/a,n/a
5673,,n/a,n/a
5673,,n/a,n/a
5509,,n/a,n/a
4945,,n/a,n/a
6667,,n/a,n/a
6660,,n/a,n/a
6613,,n/a,n/a
6512,,-14.24668,34.60561
6512,,-13.99834,34.19724
6510,,12.30100,-1.38880
6510,,11.05000,-0.45000
6510,,12.58360,-1.29660
6510,,12.84330,-2.44920
6510,,10.67570,-4.25750
6510,,12.16670,-4.16670
6487,,33.27106,44.38550
6486,,n/a,n/a
6469,,-12.35774,43.67450
6469,,-12.34689,43.66975
6469,,-12.27046,44.47947
6469,,-11.52127,43.33100
6468,,33.88127,35.49084
6468,,34.12400,35.65160
6432,,-26.69591,31.29054
6432,,-26.75806,31.30917
6431,,40.46667,115.96667
6431,,37.73222,115.70111
6431,,37.55000,115.58333
6431,,35.02641,111.00753
6431,,41.58333,120.43333
6431,,46.67583,127.01843
6431,,47.45650,126.95368
6431,,31.03361,112.20472
6431,,24.35000,102.53333
6431,,24.08933,102.75000
6431,,37.98706,106.03043
6411,,31.63000,-8.00889
6407,,-32.88950,-68.84580
6407,,-24.78210,-65.42320
6407,,-38.00550,-57.54260
6407,,-54.80190,-68.30300
6407,,-34.60370,-58.38160
6407,,-1.45570,-48.49020
6407,,-5.09200,-42.80380
6407,,-27.59490,-48.54820
6407,,29.43160,106.91230
6407,,30.57280,104.06680
6407,,29.86830,121.54400
6407,,9.92810,-84.09070
6407,,13.08270,80.27070
6407,,26.14450,91.73620
6407,,18.52040,73.85670
6407,,21.17020,72.83110
6407,,-6.20880,106.84560
6407,,-7.25750,112.75210
6407,,-7.00510,110.43810
6407,,-1.23790,116.85290
6407,,3.59520,98.67220
6407,,3.32740,117.57850
6407,,1.44040,125.12170
6407,,31.62950,-7.98110
6407,,-1.97060,30.10440
6407,,8.46060,11.77990
6403,,17.99470,-76.73314
6403,,18.02530,-76.75348
6388,,n/a,n/a
6388,,44.79943,20.36982
6388,,44.82053,20.40991
6388,,44.82004,20.42743
6388,,44.82762,20.45834
6388,,44.81892,20.45065
6388,,44.81758,20.45209
6388,,44.81784,20.45402
6388,,44.81901,20.46028
6388,,44.81489,20.45599
6388,,44.81570,20.46108
6388,,44.81458,20.46205
6388,,44.81336,20.46631
6388,,44.81405,20.47595
6388,,44.81034,20.46689
6388,,44.80985,20.46306
6388,,44.80938,20.46277
6388,,44.80910,20.46247
6388,,44.80742,20.46127
6388,,44.80631,20.46017
6388,,44.80517,20.45813
6388,,44.80365,20.46048
6388,,44.80396,20.46240
6388,,44.80302,20.46410
6388,,44.80234,20.46338
6388,,44.80513,20.47388
6388,,44.80454,20.48092
6388,,44.78682,20.44556
6384,,44.78621,20.52169
6339,,10.51830,7.43600
6339,,5.75000,8.50000
6338,,13.57500,39.08750
6338,,11.81670,41.41670
6338,,11.66324,37.82190
6338,,8.51448,39.26926
6338,,7.43870,44.29690
6338,,10.63900,35.73300
6338,,6.05860,36.72730
6338,,8.25000,34.58330
6338,,9.31111,42.12780
6328,,n/a,n/a
6327,,11.50810,42.10370
6327,,12.38690,43.33450
6321,,11.00860,29.71560
6321,,12.69220,28.42210
6321,,12.05050,24.87950
6321,,12.91340,23.47380
6321,,13.44350,22.44520
6282,,17.08764,-61.77235
6282,,-30.00000,-70.00000
6282,,21.00000,78.00000
6282,,-18.76690,46.86910
6282,,-3.50000,30.00000
6282,,3.25000,73.00000
6270,,9.93465,-84.09344
6249,,27.74960,34.23590
6249,,28.27806,34.38000
6249,,28.73206,34.62543
5989,,n/a,n/a
5989,,-12.52530,20.81920
5989,,-13.13540,20.29950
5989,,-14.10180,21.43340
5989,,-13.69790,19.85830
5989,,-11.95580,19.20340
5989,,-11.65366,20.44453
5989,,-11.55990,20.77800
5885,,12.27420,-16.16490
5885,,11.12920,-15.02010
5885,,n/a,n/a
5885,,11.23780,-15.03870
5885,,11.68330,-15.18330
5885,,12.32610,-13.95500
5885,,11.92850,-14.21450
5728,,n/a,n/a
5571,,23.77718,90.39945
5571,,22.34190,91.81554
5571,,23.62264,90.49979
5571,,23.99994,90.42027
5571,,22.82000,89.55000
5564,,n/a,n/a
