projectID_PIMS+,projectID_Atlas,Latitude,Longitude
5331,84488,-11.533300,15.400000
5684,98348,39.507778,46.338611
5684,98348,40.215000,44.578611
5684,98348,40.781389,43.896389
5882,100067,n/a,n/a
5646,96684,44.87722,18.81111
6510,118893,10.67570,-4.25750
6510,118893,11.05000,-0.45000
6510,118893,12.16670,-4.16670
6510,118893,12.30100,-1.38880
6510,118893,12.58360,-1.29660
6510,118893,12.84330,-2.44920
5680,105867,n/a,n/a
6469,,-11.5212649,43.33100
6469,,-12.27046325,44.47947
6469,,-12.34689,43.66975
6469,,-12.357735,43.67450
4685,96048,n/a,n/a
5653,118586,23.11359,-82.36659
4899,85068,n/a,n/a
6327,,11.50810,42.10370
6327,,12.38690,43.33450
6202,106644,n/a,n/a
5143,94909,1.79190,9.87120
5143,94909,3.38550,8.76300
5143,94909,3.43980,8.62080
4602,,0.10000,6.63330
4602,,0.13333,6.65000
6159,,0.15000,173.58333
4602,,0.21670,6.51670
6159,,0.22861,173.41056
4602,,0.24560,6.63270
4602,,0.36271,6.61750
4602,,0.36670,6.64340
6159,,0.40000,173.86667
4673,,0.53333,101.45000
6159,,-0.61667,174.36667
6159,,-0.85944,169.53694
6159,,0.93333,173.00000
6159,,-1.31667,175.96667
6159,,-1.35000,174.80000
6159,,-1.35000,174.80000
6159,,-1.35000,176.45000
6159,,1.43333,173.00000
4283,,1.45556,103.76111
4673,,-1.48518,102.43806
4602,,1.63990,7.42490
5143,,1.79190,9.87120
6159,,1.83333,172.95000
6159,,-1.85000,175.55000
5194,,10.00000,118.83333
4673,,-10.18333,123.58333
5304,,10.29555,123.89899
4979,,10.30520,1.38090
6089,,-10.45101,161.81711
4979,,10.49670,1.37912
6339,,10.51830,7.43600
5366,,10.60932,7.42950
5569,,-10.61189,150.66408
4979,,10.63010,1.27060
6338,,10.63900,35.73300
6510,,10.67570,-4.25750
5194,,11.00000,122.66667
6510,,11.05000,-0.45000
4979,,11.13110,2.93220
6327,,11.50810,42.10370
6469,,-11.52127,43.33100
5331,,-11.53330,15.40000
5541,,11.59364,37.39078
5484,,11.65168,43.09305
6338,,11.66324,37.82190
6338,,11.81670,41.41670
5677,,12.00000,-11.50000
6510,,12.16670,-4.16670
6469,,-12.27046,44.47947
6510,,12.30100,-1.38880
6469,,-12.34689,43.66975
6469,,-12.35774,43.67450
6327,,12.38690,43.33450
6510,,12.58360,-1.29660
4778,,12.77833,101.65333
6510,,12.84330,-2.44920
5541,,13.49740,39.47074
6338,,13.57500,39.08750
5669,,-13.84413,-172.10573
6512,,-13.99834,34.19724
6512,,-14.24668,34.60561
5304,,14.42972,120.93667
5304,,14.55659,121.02342
5304,,14.67621,121.04386
4778,,14.97990,102.09777
5304,,15.15631,120.59177
4778,,16.43963,102.82873
6323,,17.38714,78.49168
5357,,18.51806,-16.07222
5357,,18.68820,-16.13850
5357,,18.88530,-16.16370
6037,,-18.96394,-169.83201
6037,,-18.96590,-169.88677
6037,,-18.97376,-169.86143
6037,,-18.98123,-169.90217
6037,,-18.99125,-169.90844
6037,,-19.00326,-169.91970
6037,,-19.00964,-169.81123
5357,,19.03330,-16.23330
6037,,-19.05306,-169.94161
6037,,-19.05306,-169.94161
6037,,-19.05369,-169.79349
6037,,19.10199,-169.92863
6037,,-19.12373,-169.92017
6037,,-19.12873,-169.84844
6037,,-19.13084,-169.88788
5324,,19.61667,29.63333
6159,,2.00000,173.26667
5702,,-2.00521,29.89817
5702,,-2.23472,29.78539
4283,,2.31391,102.32123
5702,,-2.35189,29.75089
6159,,-2.50000,175.98333
5702,,-2.61811,29.85022
6159,,-2.64361,176.83167
4673,,-2.68333,118.90000
6159,,-2.81056,-171.67556
4283,,2.92132,101.65594
4283,,2.93527,101.69112
6323,,22.57265,88.36389
6542,,24.60639,68.07194
6542,,24.65722,68.84056
6618,,24.66667,102.60000
6618,,24.91889,102.47806
6618,,26.63333,107.51667
6432,,-26.69591,31.29054
6432,,-26.75806,31.30917
6323,,26.85000,80.95000
6618,,26.93333,102.21667
6618,,27.11865,106.85228
5563,,27.47949,89.60346
6249,,27.74960,34.23590
6618,,28.26667,103.56667
6249,,28.27806,34.38000
6542,,28.30090,68.19080
6542,,28.48710,68.64400
6618,,28.70000,103.48333
6249,,28.73206,34.62543
5256,,-28.78540,26.49790
6618,,28.83333,103.53333
5256,,-29.00000,30.60000
6542,,29.02780,69.09700
5256,,-29.57340,21.20510
6618,,29.87960,115.47067
4283,,3.12789,101.59449
6159,,3.16778,172.82583
6159,,3.36440,172.98352
5143,,3.38550,8.76300
5143,,3.43980,8.62080
5569,,-3.55000,143.63333
5569,,-3.62690,143.05140
6159,,3.88481,-159.33060
6542,,31.09980,71.00220
6618,,31.36667,104.31667
6542,,31.86210,71.38240
5256,,-32.00000,26.00000
6487,,33.27106,44.38550
6542,,34.83333,73.51667
6542,,35.48010,72.58740
4018,,35.71530,51.40434
5476,,37.73711,72.97020
5323,,37.87464,32.49316
4947,,38.48111,57.03472
5323,,38.65167,30.67000
5323,,38.68097,39.22640
5684,,39.50778,46.33861
4947,,39.88333,58.93333
6159,,4.68333,-160.37333
5392,,40.16667,63.66667
5684,,40.21500,44.57861
5392,,40.41667,67.66667
5323,,40.54556,34.95694
5138,,40.58972,49.66861
5392,,40.73970,71.57124
5684,,40.78139,43.89639
5138,,41.07944,48.98222
5138,,41.08250,48.96917
5138,,41.09500,48.95528
5138,,41.13333,48.78333
5138,,41.15000,48.83333
5138,,41.16667,48.81667
5138,,41.16667,48.85000
5392,,41.16667,69.75000
5138,,41.17139,48.81167
5138,,41.17500,48.88694
6417,,41.28978,69.25845
6417,,41.30809,69.28282
5392,,41.33333,61.00000
4670,,43.27750,76.89583
6285,,44.81490,20.14242
4670,,44.85000,65.51667
5646,,44.87722,18.81111
5492,,47.00367,28.90709
4670,,49.80278,73.10556
5366,,5.53246,5.89871
6339,,5.75000,8.50000
5366,,5.75000,8.50000
4670,,51.16939,71.44907
4670,,51.90750,68.34083
6161,,53.58333,25.81667
6161,,-55.48333,28.80000
6338,,6.05860,36.72730
6333,,-6.20000,106.81667
6333,,-6.91474,107.60981
5541,,7.05000,38.46667
4979,,7.21950,2.34000
4979,,7.22100,2.38340
6338,,7.43870,44.29690
4979,,7.78150,2.18360
4979,,7.78150,2.18360
4979,,7.93062,1.97124
4979,,8.03210,2.48420
6338,,8.25000,34.58330
6333,,-8.40952,115.18892
4979,,8.49190,2.42580
5541,,8.51447,39.26925
6338,,8.51448,39.26926
5541,,8.73464,39.00853
6338,,9.31111,42.12780
6089,,-9.47111,161.35491
4778,,9.50000,100.00000
5541,,9.60000,41.86667
4979,,9.71070,1.66520
4979,,9.79800,2.99130
4979,,9.86230,2.71910
6270,,n/a,n/a
5957,,n/a,n/a
5831,,n/a,n/a
5802,,n/a,n/a
5749,,n/a,n/a
5729,,n/a,n/a
5712,,n/a,n/a
5653,,n/a,n/a
5551,,n/a,n/a
5462,,n/a,n/a
5452,,n/a,n/a
5345,,n/a,n/a
5188,,n/a,n/a
5184,,n/a,n/a
5115,,n/a,n/a
5061,,n/a,n/a
4899,,n/a,n/a
4726,,n/a,n/a
4685,,n/a,n/a
4675,,n/a,n/a
4302,,n/a,n/a
6662,,-11.20270,17.87390
6662,,12.23950,-1.55841
6662,,-11.65198,43.37260
6662,,11.82510,42.59030
6662,,-26.55000,31.45000
6662,,9.14500,40.48970
6662,,-18.76690,46.86910
6662,,-13.25122,34.30153
6662,,9.08200,8.67530
6662,,5.15210,46.19960
6662,,15.00000,30.00000
6662,,9.30770,2.31580
6662,,15.45420,18.73220
6662,,17.59690,8.08290
6662,,17.57070,-3.99620
6662,,21.00790,-10.95170
6662,,0.25544,6.60278
6662,,-13.14035,27.84931
6660,,n/a,n/a
6659,,n/a,n/a
6658,,n/a,n/a
6657,,n/a,n/a
6618,,26.63333,107.51667
6618,,28.26667,103.56667
6618,,28.83333,103.53333
6618,,28.70000,103.48333
6618,,27.11865,106.85228
6618,,31.36667,104.31667
6618,,29.87960,115.47067
6618,,24.66667,102.60000
6618,,24.91889,102.47806
6618,,26.93333,102.21667
6613,,n/a,n/a
6554,,n/a,n/a
6542,,31.09980,71.00220
6542,,31.86210,71.38240
6542,,34.83333,73.51667
6542,,35.48010,72.58740
6542,,24.65722,68.84056
6542,,24.60639,68.07194
6542,,28.30090,68.19080
6542,,28.48710,68.64400
6542,,29.02780,69.09700
6484,,-11.20270,17.87390
6484,,12.23950,-1.55841
6484,,-11.65198,43.37260
6484,,11.82510,42.59030
6484,,-26.55000,31.45000
6484,,9.14500,40.48970
6484,,-18.76690,46.86910
6484,,-13.25122,34.30153
6484,,9.08200,8.67530
6484,,5.15210,46.19960
6484,,15.00000,30.00000
6479,,n/a,n/a
6361,,n/a,n/a
6333,,-6.20000,106.81667
6333,,-6.91474,107.60981
6333,,-8.40952,115.18892
6323,,17.38714,78.49168
6323,,22.57265,88.36389
6323,,26.85000,80.95000
