country,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,averted_deaths_2030,averted_deaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi
Bulgaria,0%,0%,0.0000,0.0000,0.100,0.230,1,-1,0.34,4.6,0.01,0.02,0.01,0.03,0.001,0.001,0.00,0.00,0.021,0.055
Burkina Faso,-10%,-92%,-0.0230,-0.3920,0.530,11.000,3027,1098,1.56,90.76,3.02,3.30,0.00,0.01,0.360,-0.046,0.00,0.00,3.016,3.311
Burundi,-63%,-623%,-0.1000,-1.6500,0.081,1.690,1768,3098,0.239,13.186,3.09,8.28,0.08,0.20,0.374,0.204,0.01,0.00,3.168,8.472
Cabo Verde,0%,-2%,0.0000,0.0000,0.006,0.040,5,2,0.019,0.488,0.01,0.00,0.01,0.00,0.001,0.000,0.00,0.00,0.0114,0.0037
Cambodia,5%,-24%,0.0120,-0.0500,0.370,6.800,1943,815,1.07,61.34,1.74,1.09,0.31,0.34,0.214,-0.037,0.05,0.00,2.049,1.426
Cameroon,-9%,-146%,-0.0270,-0.7820,0.890,15.100,4313,3280,2.54,132.88,2.42,3.24,0.62,1.13,0.300,0.010,0.08,0.02,3.033,4.373
Canada,0%,0%,0.0000,-0.0010,1.000,4.000,0,-10,2,45,0.01,0.03,0.02,0.03,0.001,0.005,0.00,0.00,0.029,0.06
Central African Republic,3%,-181%,0.0020,-0.1610,-0.001,0.387,1198,1029,-0.009,2.632,1.25,1.83,0.19,0.24,0.133,0.019,0.02,0.00,1.443,2.065
Chad,-8%,-318%,-0.0120,-1.2820,0.380,11.050,7098,5678,1.01,82.74,4.28,8.33,0.35,0.60,0.544,0.150,0.04,0.01,4.628,8.926
Chile,0%,0%,0.0000,0.0000,0.400,1.700,-2,-4,1.3,24.6,0.02,0.02,0.01,0.00,0.001,0.000,0.00,0.00,0.026,0.019
China,0%,0%,0.0000,0.0000,0.000,16.000,0,0,0,106,0.00,0.58,0.00,0.19,0.000,0.082,0.00,0.01,0,0.776
Colombia,0%,-1%,-0.0010,-0.0050,0.700,4.300,101,90,2.3,54.7,0.11,0.18,0.07,0.08,0.014,0.000,0.00,0.00,0.18,0.261
Comoros,-9%,-106%,0.0000,-0.0170,0.019,0.330,94,77,0.056,2.873,0.16,0.19,0.02,0.03,0.019,-0.003,0.00,0.00,0.18,0.218
Congo,9%,-16%,0.0060,-0.0170,0.130,1.980,380,51,0.35,18.6,0.30,0.11,0.02,0.00,0.035,-0.007,0.00,0.00,0.323,0.106
"Congo, Dem. Republic of the",-63%,-219%,-0.7500,-4.4030,1.520,74.600,18050,12050,4.07,495.97,10.92,16.48,1.59,1.80,1.278,0.005,0.20,0.13,12.509,18.279
Costa Rica,0%,0%,0.0000,0.0000,0.030,0.100,0,0,0.08,1.35,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Cote D'Ivoire,-2%,-25%,-0.0060,-0.1280,0.900,14.300,2667,640,2.68,131.58,1.14,1.06,0.09,0.03,0.157,-0.022,0.01,0.00,1.229,1.087
Croatia,0%,0%,0.0000,0.0000,0.020,0.100,0,0,0.07,1.11,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Cuba,-1%,-1%,-0.0020,-0.0010,0.280,1.200,-17,-6,0.87,16.65,0.06,0.07,0.05,0.03,0.003,0.004,0.00,0.01,0.112,0.097
Cyprus,0%,0%,0.0000,0.0000,0.020,0.010,0,0,0.05,0.53,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Czech Republic,0%,0%,0.0000,0.0000,0.100,0.400,0,-1,0.4,5.6,0.01,0.04,0.01,0.04,0.000,0.002,0.00,0.00,0.013,0.08
Denmark,0%,0%,0.0000,0.0000,0.000,0.100,0,0,0,1.8,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Djibouti,-1%,-2%,0.0000,0.0000,0.008,0.098,8,2,0.026,1.047,0.03,0.02,0.00,0.00,0.003,-0.001,0.00,0.00,0.026,0.0229
Dominican Republic,0%,0%,0.0000,0.0000,0.200,0.700,0,-1,0.6,10.1,0.02,0.02,0.00,0.00,0.002,0.000,0.00,0.00,0.021,0.014
Ecuador,-1%,-1%,-0.0010,-0.0020,0.200,1.600,0,-1,0.63,19.13,0.15,-0.01,0.14,0.17,0.013,0.000,0.02,0.00,0.287,0.164
Egypt,-2%,-2%,-0.0250,-0.0270,1.700,9.000,150,90,4.9,113.3,0.30,0.24,0.14,0.15,0.029,-0.011,0.01,0.00,0.436,0.393
El Salvador,0%,0%,0.0000,0.0000,0.010,0.010,0,0,0.01,0.24,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Equatorial Guinea,-1%,-8%,-0.0010,-0.0020,0.120,1.760,187,115,0.35,17.22,0.09,0.08,0.02,0.01,0.010,-0.001,0.00,0.00,0.104,0.097
Eritrea,-15%,-35%,-0.0050,-0.0200,0.058,3.000,311,141,0.163,20.721,1.11,0.90,0.23,0.16,0.148,-0.039,0.03,0.00,1.339,1.055
Estonia,0%,0%,0.0000,0.0000,0.010,0.010,0,0,0.04,0.42,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Eswatini,-5%,-41%,-0.0010,-0.0060,0.064,0.950,99,32,0.192,8.819,0.08,0.07,0.01,0.01,0.010,-0.001,0.00,0.00,0.0886,0.0813
Ethiopia,-28%,-37%,-0.4100,-0.7920,3.000,90.600,15770,9260,8.94,682.44,22.17,21.37,2.25,3.38,2.493,-0.458,0.30,0.02,24.426,24.747
Fiji,0%,0%,0.0000,0.0000,0.006,0.020,11,1,0.018,0.385,0.01,0.00,0.00,0.00,0.001,0.000,0.00,0.00,0.0056,0.0015
Finland,0%,0%,0.0000,0.0000,0.200,0.800,0,0,0.7,11.4,0.01,0.03,0.01,0.06,0.001,0.001,0.00,0.00,0.013,0.094
France,0%,0%,0.0000,0.0000,2.000,7.000,0,0,7,93,0.17,0.62,0.06,0.52,0.021,0.021,0.00,0.02,0.237,1.14
Gabon,0%,-3%,-0.0010,-0.0010,0.140,1.520,66,41,0.42,15.4,0.02,0.02,0.05,0.06,0.003,0.000,0.01,0.00,0.064,0.081
Gambia,1%,-10%,0.0000,-0.0050,0.021,0.530,181,78,0.058,4.274,0.11,0.11,0.03,0.04,0.015,-0.002,0.01,0.00,0.149,0.148
Georgia,0%,0%,0.0000,0.0000,0.020,0.030,0,1,0.04,0.5,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Germany,0%,0%,0.0010,0.0000,0.000,2.000,0,-10,0,26,0.02,0.11,0.03,0.09,0.006,0.002,0.00,0.00,0.046,0.197
Ghana,2%,-2%,0.0070,-0.0080,0.100,3.000,1105,200,0.39,26.49,0.99,0.24,0.26,0.24,0.122,-0.042,0.04,0.00,1.246,0.475
Greece,0%,0%,0.0000,0.0000,0.200,0.800,0,-2,0.6,8.9,0.02,0.07,0.01,0.13,0.002,0.002,0.00,0.00,0.023,0.195
Grenada,-1%,-1%,0.0000,0.0000,0.003,0.020,0,0,0.008,0.246,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0029,-0.0001
Guatemala,0%,-1%,-0.0010,-0.0020,0.050,0.400,16,6,0.16,5.22,0.01,0.00,0.01,0.00,0.001,0.000,0.00,0.00,0.013,0.004
Guinea,-11%,-56%,-0.0170,-0.1510,0.350,6.030,3521,2263,1.06,52.07,1.72,2.60,0.04,0.08,0.234,0.013,0.00,0.00,1.758,2.681
Guinea Bissau,1%,-131%,0.0010,-0.0470,0.013,0.358,306,252,0.038,2.659,0.26,0.37,0.05,0.05,0.032,-0.001,0.01,0.00,0.301,0.428
Guyana,0%,0%,0.0000,0.0000,0.270,0.160,1,1,0.72,6.88,0.00,0.00,0.00,0.00,-0.002,0.000,0.00,0.00,-0.0033,-0.0044
Haiti,-2%,-35%,-0.0020,-0.0540,0.030,0.450,180,201,0.11,4.31,0.02,0.02,0.02,0.04,-0.002,-0.001,0.00,0.00,0.034,0.066
Honduras,0%,3%,0.0010,0.0050,0.010,0.030,0,0,0.04,0.51,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Hong Kong,0%,0%,0.0000,0.0000,0.100,0.000,0,0,0.4,0.5,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Hungary,0%,0%,0.0000,0.0000,0.300,0.800,0,-2,1,13.7,0.06,0.17,0.04,0.16,0.006,0.005,0.00,0.01,0.099,0.324
Iceland,0%,0%,0.0000,0.0000,0.010,0.010,0,0,0.01,0.13,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
India,1%,0%,0.2200,-0.0230,2.000,23.000,60800,5600,5,361,8.81,-2.94,2.51,2.01,1.590,0.000,0.37,0.00,11.321,-0.93
Indonesia,0%,-1%,0.0040,-0.0300,4.000,33.000,11130,9840,11,380,3.74,5.63,2.88,3.66,0.583,0.156,0.42,0.00,6.627,9.29
Iran,0%,0%,0.0000,0.0000,0.000,1.200,0,10,0,7.7,0.00,-0.01,0.00,-0.01,0.000,0.000,0.00,0.00,-0.002,-0.018
Iraq,0%,0%,0.0000,0.0000,0.300,4.000,1,7,0.8,40.6,0.08,0.00,0.16,0.15,0.008,0.000,0.02,-0.01,0.239,0.149
Ireland,0%,0%,0.0000,0.0000,0.100,2.200,0,-2,0.3,22.8,0.00,0.05,0.00,0.01,0.001,0.002,0.00,0.00,0.005,0.055
Israel,0%,0%,0.0000,0.0000,0.100,0.200,0,0,0.3,2.9,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Italy,0%,0%,-0.0010,-0.0010,2.000,8.000,-10,-20,5,103,0.12,1.02,0.06,1.01,0.012,0.041,0.00,0.05,0.183,2.023
Jamaica,0%,1%,0.0000,0.0000,0.000,0.010,0,0,0.02,0.25,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Japan,0%,0%,-0.0020,-0.0030,6.000,32.000,-10,-130,20,390,0.13,0.85,0.35,4.42,0.009,0.037,0.05,0.21,0.479,5.265
Jordan,0%,0%,0.0000,0.0000,0.030,0.150,0,2,0.11,1.73,0.00,0.00,-0.01,0.00,0.000,0.000,0.00,0.00,-0.005,0.007
Kazakhstan,0%,0%,0.0000,0.0000,0.700,4.700,6,2,1.9,61.2,0.09,0.05,0.06,0.03,0.008,-0.002,0.01,0.00,0.144,0.074
Kenya,-13%,-51%,-0.0800,-0.4630,1.200,22.500,4275,2370,3.34,200.24,6.94,6.10,0.95,1.40,0.912,-0.132,0.14,0.01,7.888,7.497
"Korea, Dem. People's Republic",6%,-113%,0.0420,-0.2680,0.500,3.340,21781,17328,1.59,38.16,1.91,2.31,1.49,1.43,0.212,0.004,0.17,-0.02,3.396,3.741
"Korea, Republic of",0%,0%,0.0000,0.0000,0.000,0.000,0,0,0,5,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Kosovo,0%,0%,0.0000,0.0000,0.010,0.010,0,0,0.01,0.09,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Kuwait,0%,0%,0.0000,0.0000,0.100,1.300,0,1,0.3,10.5,0.00,0.00,0.00,0.01,0.000,0.000,0.00,0.00,0.001,0.009
Kyrgyzstan,-1%,-2%,-0.0010,-0.0010,0.000,0.020,1,1,0.006,0.226,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.005,-0.005
Lao People's Dem. Republic,3%,0%,0.0020,0.0000,0.160,2.310,766,72,0.43,22.12,0.18,0.03,0.06,0.03,0.024,-0.004,0.01,0.00,0.243,0.065
Latvia,0%,0%,0.0000,0.0000,0.010,0.020,0,0,0.02,0.35,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Lebanon,2%,-34%,0.0020,-0.0230,0.130,1.100,0,5,0.43,11.75,0.01,0.01,0.05,0.07,0.001,-0.002,0.01,0.00,0.0582,0.0797
Lesotho,-19%,-296%,-0.0030,-0.0740,0.051,0.551,478,371,0.161,5.483,0.36,0.42,0.02,0.03,0.042,-0.003,0.00,0.00,0.381,0.457
Liberia,5%,-112%,0.0050,-0.1010,0.014,0.560,576,259,0.038,4.179,0.43,0.58,0.09,0.06,0.054,-0.006,0.01,-0.01,0.517,0.644
Libya,0%,0%,0.0000,0.0000,0.400,0.800,1,2,2,13.4,-0.01,-0.01,-0.02,-0.02,0.000,0.000,0.00,0.00,-0.037,-0.037
Lithuania,0%,0%,0.0000,0.0000,0.010,0.100,0,0,0.04,0.59,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Luxembourg,0%,0%,0.0000,0.0000,0.080,0.430,0,-1,0.24,5.18,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0022,0.0035
"Macedonia, North",1%,0%,0.0000,0.0000,0.000,0.010,0,0,0,0.13,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Madagascar,-53%,-927%,-0.1700,-4.9000,0.680,14.040,8329,9080,2.04,116.97,5.25,7.43,1.13,1.96,0.602,0.037,0.15,0.04,6.38,9.387
Malawi,0%,-17%,0.0000,-0.0610,0.000,0.140,7,21,0.01,1.07,-0.02,-0.02,0.00,0.00,0.000,0.000,0.00,0.00,-0.016,-0.016
Malaysia,0%,0%,0.0000,0.0000,0.300,1.000,1,0,1,17.6,0.02,0.03,0.03,0.02,0.002,0.000,0.00,0.00,0.052,0.042
Maldives,0%,-1%,0.0000,0.0000,0.001,0.007,1,0,0.004,0.059,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.0006,0.0007
Mali,-8%,-216%,-0.0100,-0.9540,0.310,6.640,3104,2569,0.91,54.23,2.31,3.48,0.43,0.77,0.304,0.012,0.06,0.01,2.738,4.255
Malta,0%,0%,0.0000,0.0000,0.010,0.010,0,0,0.03,0.35,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Mauritania,3%,-32%,0.0020,-0.0300,0.140,1.770,338,133,0.44,17.77,0.38,0.34,0.06,0.07,0.049,-0.008,0.01,0.00,0.439,0.414
Mauritius,0%,0%,0.0000,0.0000,0.020,0.050,0,0,0.06,0.75,0.01,0.00,0.00,0.00,0.001,0.000,0.00,0.00,0.0136,0.0056
Mexico,0%,-1%,-0.0020,-0.0140,2.000,12.000,300,310,5,150,0.04,0.08,0.20,0.28,0.005,0.001,0.02,0.01,0.245,0.361
Micronesia,-11%,-78%,0.0000,-0.0010,0.001,0.015,6,2,0.002,0.15,0.00,0.00,0.00,0.00,0.001,0.000,0.00,0.00,0.0049,0.0028
"Moldova, Republic of",0%,0%,0.0000,0.0000,0.000,0.000,0,0,0,0.04,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Mongolia,0%,0%,0.0000,0.0000,0.070,0.730,73,9,0.18,7.48,0.04,0.01,0.03,0.01,0.006,-0.001,0.01,0.00,0.074,0.019
Montenegro,0%,0%,0.0000,0.0000,0.004,0.010,0,0,0.011,0.158,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Morocco,0%,0%,0.0000,-0.0010,0.300,1.900,52,20,0.8,21.6,0.22,-0.03,0.35,0.29,0.023,0.000,0.05,-0.01,0.563,0.256
Mozambique,-23%,-211%,-0.0900,-1.3700,0.610,10.800,2936,1972,1.78,92.93,7.62,10.30,0.31,0.08,0.845,-0.029,0.04,0.00,7.937,10.382
Myanmar,0%,0%,0.0000,-0.0010,0.080,0.600,350,120,0.28,6.48,0.04,0.03,0.01,0.01,-0.001,-0.003,0.00,0.00,0.049,0.039
Namibia,-3%,-11%,-0.0010,-0.0040,0.160,2.230,177,24,0.48,21.34,0.15,0.06,0.04,0.03,0.018,-0.005,0.01,0.00,0.185,0.093
Nepal,7%,-1%,0.0220,-0.0050,0.240,3.500,7434,2439,0.72,34,2.76,1.22,0.38,0.46,0.317,-0.112,0.05,0.00,3.137,1.671
Netherlands,0%,0%,0.0000,0.0000,0.000,3.000,-1,-5,2,36,0.01,0.02,0.03,0.33,0.001,0.001,0.01,0.02,0.035,0.346
New Zealand,0%,0%,0.0000,0.0000,0.000,0.100,0,0,0,1.3,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Nicaragua,0%,0%,0.0000,0.0000,0.010,0.010,1,1,0.03,0.18,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.003,-0.003
Niger,-32%,-210%,-0.1060,-1.3110,0.560,17.400,4527,3821,1.6,130.19,4.65,8.65,0.17,0.30,0.636,0.082,0.02,0.00,4.815,8.942
Nigeria,-3%,-212%,0.0000,-9.9000,8.000,156.000,60150,24280,23.2,1329.3,21.76,25.15,4.06,6.92,2.885,-0.429,0.59,-0.06,25.823,32.066
Norway,0%,0%,0.0000,0.0000,0.000,0.300,0,-1,0,2.5,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Oman,0%,0%,0.0000,0.0000,0.000,0.100,0,1,0,0.9,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Pakistan,0%,0%,0.0040,0.0000,0.300,1.100,1110,40,1,15.8,0.15,-0.04,0.06,-0.01,-0.003,0.000,0.00,0.00,0.21,-0.049
Palestine,-1%,0%,0.0000,-0.0010,0.030,0.290,2,6,0.12,2.69,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.001,0.004
Panama,0%,0%,0.0000,0.0000,0.030,0.200,1,0,0.08,1.8,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Papua New Guinea,-1%,-8%,-0.0010,-0.0100,0.050,0.560,97,155,0.17,5.39,0.00,0.02,0.00,0.00,0.000,-0.001,0.00,0.00,-0.002,0.021
Paraguay,-1%,-1%,-0.0010,-0.0010,0.350,2.000,3,20,0.71,27.61,0.00,0.00,0.00,0.00,-0.003,0.000,0.00,0.00,0.001,0.006
Peru,0%,0%,-0.0010,-0.0020,0.500,2.700,130,50,1.5,34.3,0.00,0.00,0.04,0.02,0.003,-0.001,0.01,0.00,0.036,0.016
Philippines,0%,-7%,-0.0020,-0.0950,3.000,32.000,7000,2590,8.8,330,4.25,3.60,1.81,1.85,0.558,-0.023,0.25,-0.02,6.058,5.453
Poland,0%,0%,0.0000,0.0000,0.300,1.000,0,0,1.1,16,0.04,0.05,0.03,0.02,-0.001,0.000,0.00,0.00,0.07,0.065
Portugal,0%,0%,0.0000,0.0000,0.200,1.400,-2,-6,0.7,17,0.06,0.23,0.01,0.09,0.008,0.008,0.00,0.01,0.068,0.318
Puerto Rico,0%,0%,0.0000,0.0000,0.000,0.100,0,0,0.22,1.32,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.0011,-0.0011
Qatar,0%,0%,0.0000,0.0000,0.100,1.000,0,0,0.3,9.2,0.00,0.00,0.00,0.01,0.000,0.000,0.00,0.00,0,0.0104
Romania,0%,0%,0.0000,0.0000,0.300,1.200,1,-2,1,17.5,0.12,0.31,0.03,0.12,0.012,0.006,0.00,0.00,0.147,0.425
Russian Federation,0%,0%,0.0000,0.0010,1.000,-2.000,0,-20,3,24,0.17,0.16,0.11,0.06,0.015,0.000,-0.01,0.00,0.277,0.22
Rwanda,-2%,-73%,0.0030,-0.1570,0.290,7.400,1241,677,0.79,60.1,3.40,2.95,0.19,0.22,0.436,-0.066,0.03,0.00,3.589,3.161
Samoa,0%,0%,0.0000,0.0000,0.000,0.004,2.2,0,0,0.05,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0012,0.0002
Sao Tome and Principe,2%,-24%,0.0000,-0.0010,0.001,0.007,4,0,0.002,0.082,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0014,0.0001
Saudi Arabia,0%,0%,0.0000,0.0000,1.000,6.000,-2,-10,4,86,0.03,0.04,0.04,0.02,0.004,0.000,0.01,0.00,0.071,0.066
Senegal,-3%,-18%,-0.0040,-0.0570,0.310,6.000,829,240,0.89,53.31,0.78,0.62,0.09,0.09,0.107,-0.016,0.01,0.00,0.868,0.712
Serbia,0%,0%,0.0000,0.0000,0.020,0.000,0,0,0.06,0.95,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Seychelles,0%,0%,0.0000,0.0000,0.000,-0.001,0,0,0,-0.005,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Sierra Leone,10%,-251%,0.0120,-0.3560,0.036,1.180,1510,1062,0.1,8.879,0.91,1.48,0.11,0.12,0.122,0.011,0.02,0.00,1.017,1.601
Singapore,0%,0%,0.0000,0.0000,-0.100,0.200,0,0,-0.2,0,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Slovakia,0%,0%,0.0000,0.0000,0.100,0.400,0,-2,0.4,5.3,0.02,0.10,0.01,0.04,0.001,0.006,0.00,0.00,0.034,0.141
Slovenia,0%,0%,0.0000,0.0000,0.010,0.110,0,0,0.07,1.34,0.01,0.02,0.00,0.00,0.000,0.000,0.00,0.00,0.008,0.022
Solomon Islands,0%,-10%,0.0000,-0.0020,0.001,0.009,3,2,0.003,0.075,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,-0.001
Somalia,3%,-96%,0.0100,-0.3320,0.036,2.140,3122,1710,0.093,14.033,1.31,2.35,0.00,0.00,0.173,0.058,0.00,0.00,1.304,2.347
South Africa,-1%,-11%,0.0000,-0.0800,1.000,7.700,1100,820,3.1,90.2,0.78,0.84,0.36,0.50,0.098,-0.004,0.05,0.00,1.138,1.343
Spain,0%,0%,0.0000,-0.0010,2.000,7.000,-20,-30,5,99,0.16,0.61,0.10,0.74,0.014,0.022,0.00,0.06,0.26,1.346
Sri Lanka,0%,0%,0.0000,0.0000,0.600,5.500,3655,2316,2,63,1.16,1.41,0.15,0.15,0.163,0.019,0.02,0.00,1.305,1.557
St. Lucia,0%,-1%,0.0000,0.0000,0.002,0.006,0,0,0.006,0.102,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0014,6.96599895821937E-018
St. Vincent and the Grenadines,0%,-3%,0.0000,0.0000,0.001,0.003,0,0,0.003,0.05,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0001,0
Sudan,-3%,-38%,-0.0140,-0.3270,0.590,7.800,5137,5064,1.86,73.27,5.87,9.83,0.14,0.06,0.734,0.088,0.01,0.00,6.008,9.897
Sudan South,-5%,-63%,0.0100,-0.0600,0.000,1.520,2219,583,-0.086,10.964,3.02,2.51,0.23,0.17,0.299,-0.063,0.02,0.00,3.252,2.681
Suriname,1%,0%,0.0000,0.0000,0.000,0.001,0,0,0,0.007,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Sweden,0%,0%,0.0000,0.0000,0.000,1.000,0,0,0.2,6.5,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Switzerland,0%,0%,0.0000,0.0000,0.300,2.000,0,-2,0.9,19.6,0.01,0.04,0.01,0.01,0.000,0.004,0.00,0.00,0.017,0.054
