country,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,averted_deaths_2030,averted_deaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi
Afghanistan,0%,-11%,0.0000,-0.0800,0.020,0.400,160,61,0.06,2.46,0.00,-0.05,-0.01,0.00,-0.006,-0.001,0.00,0.00,-0.008,-0.059
Albania,0%,0%,0.0000,0.0000,0.010,0.020,0,-1,0.03,0.33,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Algeria,0%,0%,0.0000,-0.0010,0.300,2.500,1,13,0.9,28,0.09,0.05,0.29,0.27,0.020,-0.005,0.04,-0.01,0.378,0.328
Angola,-5%,-114%,-0.0100,-0.9500,1.700,23.200,4910,1730,5,218,2.02,2.60,0.32,0.18,0.263,-0.008,0.04,-0.02,2.339,2.783
Argentina,-1%,-2%,-0.0050,-0.0100,1.100,5.600,20,10,3.6,72.3,0.01,0.01,0.08,0.08,0.002,0.000,0.01,0.00,0.094,0.088
Armenia,0%,0%,0.0000,0.0000,0.000,0.010,0,0,0,0.2,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Australia,0%,0%,0.0000,0.0000,1.000,2.000,0,-11,3,35,0.01,0.02,0.01,0.01,0.001,0.000,0.00,0.00,0.018,0.022
Austria,0%,0%,0.0000,0.0000,0.100,0.900,0,0,0.4,10.3,0.02,0.13,0.01,0.01,0.003,0.006,0.00,0.00,0.025,0.138
Azerbaijan,0%,0%,0.0000,0.0000,0.100,0.200,1,0,0.28,4.08,0.00,0.03,0.00,0.00,0.001,0.002,0.00,0.00,0.006,0.03
Bahamas,0%,0%,0.0000,0.0000,0.010,0.000,0,0,0.02,0.1,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,-0.0002,-0.0002
Bahrain,0%,0%,0.0000,0.0000,0.060,0.420,0,0,0.21,4.82,0.00,0.00,0.00,0.01,0.000,0.000,0.00,0.00,0.0008,0.006
Bangladesh,0%,-1%,0.0040,-0.0230,1.800,19.000,13270,2550,5.5,208,4.98,0.31,2.10,1.87,0.626,0.052,0.30,-0.02,7.085,2.185
Barbados,0%,0%,0.0000,0.0000,0.003,0.006,0,0,0.008,0.137,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Belarus,0%,0%,0.0000,0.0000,0.010,0.010,0,0,0.04,0.6,0.01,0.01,0.01,0.01,0.000,0.000,0.00,0.00,0.012,0.018
Belgium,0%,0%,0.0000,0.0000,0.000,1.000,0,-1,0.4,9.5,0.00,0.00,0.01,0.07,0.000,0.000,0.00,0.01,0.005,0.07
Belize,0%,2%,0.0000,0.0000,0.001,0.002,0,0,0.003,0.06,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0029,-0.0017
Benin,6%,-60%,0.0120,-0.1430,0.200,5.700,1511,447,0.54,45.08,1.22,1.07,0.20,0.22,0.162,-0.029,0.03,0.00,1.416,1.289
Bhutan,2%,-3%,0.0000,0.0000,0.014,0.073,74,15,0.046,1.035,0.05,0.03,0.02,0.02,0.004,-0.001,0.00,0.00,0.074,0.041
Bolivia,0%,0%,0.0000,0.0010,0.010,0.000,1,0,0.02,0.14,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Bosnia and Herzegovina,0%,0%,0.0000,0.0000,0.000,0.020,0,0,0.01,0.25,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0,0
Botswana,-2%,-8%,0.0000,-0.0030,0.150,1.210,51,6,0.47,13.6,0.07,0.01,0.03,0.01,0.008,-0.001,0.01,0.00,0.101,0.018
Brazil,-1%,-1%,-0.0200,-0.0280,6.000,35.000,-20,60,20,461,0.44,0.56,0.40,0.59,0.065,-0.002,0.04,0.00,0.833,1.142
Brunei Darussalam,0%,0%,0.0000,0.0000,0.020,0.070,0,0,0.05,0.96,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.0003,0.0003
