"project_id","status","Short Title","Sources of Funds","Lead Country","Region","Latitude","Longitude","Grant Amount","GL Expenses","Co-Financing","tonnes of CO2-eq emissions avoided or reduced","grant_amount_vertical_fund","expenses_vertical_fund","cofinancing_vertical_fund","MW of renewable or low-emission energy capacity installed or rehabilitated","people directly benefiting"
4673,"Active","RE Market Transformation (NAMA)","GEF","Indonesia","RBAP",-10.1833,123.5833,8025000,5600897.2,60100000,1289846,8025000,5600897.2,60100000,100,320000
4673,"Active","RE Market Transformation (NAMA)","GEF","Indonesia","RBAP",-2.6833,118.9,8025000,5600897.2,60100000,1289846,8025000,5600897.2,60100000,100,320000
4673,"Active","RE Market Transformation (NAMA)","GEF","Indonesia","RBAP",-1.4852,102.4381,8025000,5600897.2,60100000,1289846,8025000,5600897.2,60100000,100,320000
4673,"Active","RE Market Transformation (NAMA)","GEF","Indonesia","RBAP",0.5333,101.45,8025000,5600897.2,60100000,1289846,8025000,5600897.2,60100000,100,320000
4778,"Active","Low Carbon Cities","GEF","Thailand","RBAP",9.5,100,3150000,3083680.99,91850000,1359852,3150000,3083680.99,91850000,13.9,40
4778,"Active","Low Carbon Cities","GEF","Thailand","RBAP",12.7783,101.6533,3150000,3083680.99,91850000,1359852,3150000,3083680.99,91850000,13.9,40
4778,"Active","Low Carbon Cities","GEF","Thailand","RBAP",14.9799,102.0978,3150000,3083680.99,91850000,1359852,3150000,3083680.99,91850000,13.9,40
4778,"Active","Low Carbon Cities","GEF","Thailand","RBAP",16.4396,102.8287,3150000,3083680.99,91850000,1359852,3150000,3083680.99,91850000,13.9,40
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",7.2195,2.34,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",7.221,2.3834,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",7.7815,2.1836,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",7.9306,1.9712,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",8.0321,2.4842,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",8.4919,2.4258,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",9.7107,1.6652,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",9.798,2.9913,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",9.8623,2.7191,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",10.3052,1.3809,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",10.4967,1.3791,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",10.6301,1.2706,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
4979,"Active","Benin NAPA LDCF 2","LDCF","Benin","RBA",11.1311,2.9322,8000000,6344618.62,31570000,,8000000,6344618.62,31570000,,500
5143,"Active","Guinea SEFA","GEF","Equatorial Guinea","RBA",1.7919,9.8712,3502968,2521201.42,40000000,,3502968,2521201.42,40000000,,40
5143,"Active","Guinea SEFA","GEF","Equatorial Guinea","RBA",3.3855,8.763,3502968,2521201.42,40000000,,3502968,2521201.42,40000000,,40
5143,"Active","Guinea SEFA","GEF","Equatorial Guinea","RBA",3.4398,8.6208,3502968,2521201.42,40000000,,3502968,2521201.42,40000000,,40
5194,"Active","DREAMS","GEF","Philippines","RBAP",10,118.8333,5200000,2465519.1,38302222,2444565,5200000,2465519.1,38302222,75,100010
5194,"Active","DREAMS","GEF","Philippines","RBAP",11,122.6667,5200000,2465519.1,38302222,2444565,5200000,2465519.1,38302222,75,100010
5256,"Active","South Africa Wind Energy Project (Phase II)","GEF","South Africa","RBA",-32,26,3554250,3080110.68,35667936,12546023,3554250,3080110.68,35667936,267.4,74230
5256,"Active","South Africa Wind Energy Project (Phase II)","GEF","South Africa","RBA",-29.5734,21.2051,3554250,3080110.68,35667936,12546023,3554250,3080110.68,35667936,267.4,74230
5256,"Active","South Africa Wind Energy Project (Phase II)","GEF","South Africa","RBA",-29,30.6,3554250,3080110.68,35667936,12546023,3554250,3080110.68,35667936,267.4,74230
5256,"Active","South Africa Wind Energy Project (Phase II)","GEF","South Africa","RBA",-28.7854,26.4979,3554250,3080110.68,35667936,12546023,3554250,3080110.68,35667936,267.4,74230
5304,"Active","Urban Transport","GEF","Philippines","RBAP",10.2956,123.899,2639726,758129.92,22439979,69013,2639726,758129.92,22439979,,222
5304,"Active","Urban Transport","GEF","Philippines","RBAP",14.4297,120.9367,2639726,758129.92,22439979,69013,2639726,758129.92,22439979,,222
5304,"Active","Urban Transport","GEF","Philippines","RBAP",14.5566,121.0234,2639726,758129.92,22439979,69013,2639726,758129.92,22439979,,222
5304,"Active","Urban Transport","GEF","Philippines","RBAP",14.6762,121.0439,2639726,758129.92,22439979,69013,2639726,758129.92,22439979,,222
5304,"Active","Urban Transport","GEF","Philippines","RBAP",15.1563,120.5918,2639726,758129.92,22439979,69013,2639726,758129.92,22439979,,222
5323,"Active","SEFM for Solar PV for Forest Villages","GEF","Turkey","RBEC",37.8746,32.4932,3780000,2788965.5,52500000,574992,3780000,2788965.5,52500000,30,175000
5323,"Active","SEFM for Solar PV for Forest Villages","GEF","Turkey","RBEC",38.6517,30.67,3780000,2788965.5,52500000,574992,3780000,2788965.5,52500000,30,175000
5323,"Active","SEFM for Solar PV for Forest Villages","GEF","Turkey","RBEC",38.681,39.2264,3780000,2788965.5,52500000,574992,3780000,2788965.5,52500000,30,175000
5323,"Active","SEFM for Solar PV for Forest Villages","GEF","Turkey","RBEC",40.5456,34.9569,3780000,2788965.5,52500000,574992,3780000,2788965.5,52500000,30,175000
5324,"Active","PV pump systems for irrigation","GEF","Sudan","RBAS",19.6167,29.6333,4365753,3039950.46,20150000,,4365753,3039950.46,20150000,,
5331,"Active","Angola Charcoal","GEF","Angola","RBA",-11.5333,15.4,4620000,2992143.54,18711700,209120,4620000,2992143.54,18711700,,150
5357,"Active","Hybrid Mini-grids in Mauritania","GEF","Mauritania","RBA",18.5181,-16.0722,1270142,965055.48,7650000,47000,1270142,965055.48,7650000,0.6,430
5357,"Active","Hybrid Mini-grids in Mauritania","GEF","Mauritania","RBA",18.6882,-16.1385,1270142,965055.48,7650000,47000,1270142,965055.48,7650000,0.6,430
5357,"Active","Hybrid Mini-grids in Mauritania","GEF","Mauritania","RBA",18.8853,-16.1637,1270142,965055.48,7650000,47000,1270142,965055.48,7650000,0.6,430
5357,"Active","Hybrid Mini-grids in Mauritania","GEF","Mauritania","RBA",19.0333,-16.2333,1270142,965055.48,7650000,47000,1270142,965055.48,7650000,0.6,430
5366,"Active","Sustainable Fuelwood Management in Nigeria","GEF","Nigeria","RBA",5.5325,5.8987,4410000,4341931.43,16400000,5962365,4410000,4341931.43,16400000,,100300
5366,"Active","Sustainable Fuelwood Management in Nigeria","GEF","Nigeria","RBA",5.75,8.5,4410000,4341931.43,16400000,5962365,4410000,4341931.43,16400000,,100300
5366,"Active","Sustainable Fuelwood Management in Nigeria","GEF","Nigeria","RBA",10.6093,7.4295,4410000,4341931.43,16400000,5962365,4410000,4341931.43,16400000,,100300
5392,"Active","Sustainable Rural Housing in Uzbekistan","GEF","Uzbekistan","RBEC",40.1667,63.6667,6000000,3677351.71,130665099,465267,6000000,3677351.71,130665099,,7940
5392,"Active","Sustainable Rural Housing in Uzbekistan","GEF","Uzbekistan","RBEC",40.4167,67.6667,6000000,3677351.71,130665099,465267,6000000,3677351.71,130665099,,7940
5392,"Active","Sustainable Rural Housing in Uzbekistan","GEF","Uzbekistan","RBEC",40.7397,71.5712,6000000,3677351.71,130665099,465267,6000000,3677351.71,130665099,,7940
5392,"Active","Sustainable Rural Housing in Uzbekistan","GEF","Uzbekistan","RBEC",41.1667,69.75,6000000,3677351.71,130665099,465267,6000000,3677351.71,130665099,,7940
5392,"Active","Sustainable Rural Housing in Uzbekistan","GEF","Uzbekistan","RBEC",41.3333,61,6000000,3677351.71,130665099,465267,6000000,3677351.71,130665099,,7940
5476,"Active","Green Energy SME Development Project","GEF","Tajikistan","RBEC",37.7371,72.9702,2519963,565735.18,21950000,53000,2519963,565735.18,21950000,2.75,18050
5484,"Active","Comoros Geothermal","GEF","Comoros","RBA",11.6517,43.0931,5905662,3061464.82,48360000,55125,5905662,3061464.82,48360000,10,1400
5492,"Active","Moldova Green Cities","GEF","Republic of Moldova","RBEC",47.0037,28.9071,2639726,1921750.61,39930000,200000,2639726,1921750.61,39930000,,20000
5541,"Active","Ethiopia COMPOST - NAMA","GEF","Ethiopia","RBA",7.05,38.4667,6667123,6466676.69,47112888,,6667123,6466676.69,47112888,,1640723
5541,"Active","Ethiopia COMPOST - NAMA","GEF","Ethiopia","RBA",8.5145,39.2692,6667123,6466676.69,47112888,,6667123,6466676.69,47112888,,1640723
5541,"Active","Ethiopia COMPOST - NAMA","GEF","Ethiopia","RBA",8.7346,39.0085,6667123,6466676.69,47112888,,6667123,6466676.69,47112888,,1640723
5541,"Active","Ethiopia COMPOST - NAMA","GEF","Ethiopia","RBA",9.6,41.8667,6667123,6466676.69,47112888,,6667123,6466676.69,47112888,,1640723
5541,"Active","Ethiopia COMPOST - NAMA","GEF","Ethiopia","RBA",11.5936,37.3908,6667123,6466676.69,47112888,,6667123,6466676.69,47112888,,1640723
5541,"Active","Ethiopia COMPOST - NAMA","GEF","Ethiopia","RBA",13.4974,39.4707,6667123,6466676.69,47112888,,6667123,6466676.69,47112888,,1640723
5563,"Active","Urban Transport","GEF","Bhutan","RBAP",27.4795,89.6035,2639726,2151276.46,10318000,,2639726,2151276.46,10318000,,301100
5569,"Active","FREAGER","GEF","Papua New Guinea","RBAP",-10.6119,150.6641,2840640,1919158.61,24760000,159879,2840640,1919158.61,24760000,9.4,159365
5569,"Active","FREAGER","GEF","Papua New Guinea","RBAP",-3.6269,143.0514,2840640,1919158.61,24760000,159879,2840640,1919158.61,24760000,9.4,159365
5569,"Active","FREAGER","GEF","Papua New Guinea","RBAP",-3.55,143.6333,2840640,1919158.61,24760000,159879,2840640,1919158.61,24760000,9.4,159365
5571,"Active","Low Carbon Urban Development","GEF","Bangladesh","RBAP",22.3419,91.8155,3767810,0,65800000,,3767810,0,65800000,,10000
5571,"Active","Low Carbon Urban Development","GEF","Bangladesh","RBAP",22.82,89.55,3767810,0,65800000,,3767810,0,65800000,,10000
5571,"Active","Low Carbon Urban Development","GEF","Bangladesh","RBAP",23.6226,90.4998,3767810,0,65800000,,3767810,0,65800000,,10000
5571,"Active","Low Carbon Urban Development","GEF","Bangladesh","RBAP",23.7772,90.3995,3767810,0,65800000,,3767810,0,65800000,,10000
5571,"Active","Low Carbon Urban Development","GEF","Bangladesh","RBAP",23.9999,90.4203,3767810,0,65800000,,3767810,0,65800000,,10000
5646,"Active","Catalyzing Env.Fin. for Low-Carbon Urban Dev","GEF","Bosnia and Herzegovina","RBEC",44.8772,18.8111,2370000,1355970.42,42050627,,2370000,1355970.42,42050627,,15000
5669,"Active","IMPRESS","GEF","Samoa","RBAP",-13.8441,-172.1057,6075828,4378602.06,46489200,32829,6075828,4378602.06,46489200,1.5,32880
5677,"Active","Sustainable management of natural resources","GEF","Guinea","RBA",12,-11.5,7060274,2779648.97,58700250,8924390,7060274,2779648.97,58700250,,50000
5684,"Active","Energy Efficient Building Retrofits","GCF","Armenia","RBEC",39.5078,46.3386,20000000,3757442.85,96070000,1400000,20000000,3757442.85,96070000,,210000
5684,"Active","Energy Efficient Building Retrofits","GCF","Armenia","RBEC",40.215,44.5786,20000000,3757442.85,96070000,1400000,20000000,3757442.85,96070000,,210000
5684,"Active","Energy Efficient Building Retrofits","GCF","Armenia","RBEC",40.7814,43.8964,20000000,3757442.85,96070000,1400000,20000000,3757442.85,96070000,,210000
5702,"Active","Forest Landscape Restoration in the Mayaga","GEF","Rwanda","RBA",-2.6181,29.8502,6213538,3492574.33,26493366,4700825,6213538,3492574.33,26493366,,362144
5702,"Active","Forest Landscape Restoration in the Mayaga","GEF","Rwanda","RBA",-2.3519,29.7509,6213538,3492574.33,26493366,4700825,6213538,3492574.33,26493366,,362144
5702,"Active","Forest Landscape Restoration in the Mayaga","GEF","Rwanda","RBA",-2.2347,29.7854,6213538,3492574.33,26493366,4700825,6213538,3492574.33,26493366,,362144
5702,"Active","Forest Landscape Restoration in the Mayaga","GEF","Rwanda","RBA",-2.0052,29.8982,6213538,3492574.33,26493366,4700825,6213538,3492574.33,26493366,,362144
5885,"Active","Low Carbon project","GEF","Guinea-Bissau","RBA",11.1292,-15.0201,2912702,0,14500000,,2912702,0,14500000,1.19,25000
5885,"Active","Low Carbon project","GEF","Guinea-Bissau","RBA",11.2378,-15.0387,2912702,0,14500000,,2912702,0,14500000,1.19,25000
5885,"Active","Low Carbon project","GEF","Guinea-Bissau","RBA",11.6833,-15.1833,2912702,0,14500000,,2912702,0,14500000,1.19,25000
5885,"Active","Low Carbon project","GEF","Guinea-Bissau","RBA",11.9285,-14.2145,2912702,0,14500000,,2912702,0,14500000,1.19,25000
5885,"Active","Low Carbon project","GEF","Guinea-Bissau","RBA",12.2742,-16.1649,2912702,0,14500000,,2912702,0,14500000,1.19,25000
5885,"Active","Low Carbon project","GEF","Guinea-Bissau","RBA",12.3261,-13.955,2912702,0,14500000,,2912702,0,14500000,1.19,25000
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-14.1018,21.4334,3540468,0,21000000,,3540468,0,21000000,0.43,81400
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-13.6979,19.8583,3540468,0,21000000,,3540468,0,21000000,0.43,81400
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-13.1354,20.2995,3540468,0,21000000,,3540468,0,21000000,0.43,81400
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-12.5253,20.8192,3540468,0,21000000,,3540468,0,21000000,0.43,81400
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-11.9558,19.2034,3540468,0,21000000,,3540468,0,21000000,0.43,81400
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-11.6537,20.4445,3540468,0,21000000,,3540468,0,21000000,0.43,81400
5989,"Active","Sustainable Energy Access","GEF","Angola","RBA",-11.5599,20.778,3540468,0,21000000,,3540468,0,21000000,0.43,81400
6037,"Active","AREAN","GEF","Niue","RBAP",-19.1308,-169.8879,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-19.1287,-169.8484,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-19.1237,-169.9202,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-19.0537,-169.7935,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-19.0531,-169.9416,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-19.0096,-169.8112,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-19.0033,-169.9197,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-18.9913,-169.9084,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-18.9812,-169.9022,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-18.9738,-169.8614,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-18.9659,-169.8868,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",-18.9639,-169.832,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6037,"Active","AREAN","GEF","Niue","RBAP",19.102,-169.9286,3321563,808112.84,17706000,64357,3321563,808112.84,17706000,2.54,
6089,"Active","SPIRES (Rural Electrification)","GEF","Solomon Islands","RBAP",-10.451,161.8171,2639726,490863.71,16525531,123510,2639726,490863.71,16525531,15.99,4000
6089,"Active","SPIRES (Rural Electrification)","GEF","Solomon Islands","RBAP",-9.4711,161.3549,2639726,490863.71,16525531,123510,2639726,490863.71,16525531,15.99,4000
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-2.8106,-171.6756,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-2.6436,176.8317,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-2.5,175.9833,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-1.85,175.55,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-1.35,174.8,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-1.35,176.45,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-1.3167,175.9667,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-0.8594,169.5369,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",-0.6167,174.3667,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",0.15,173.5833,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",0.2286,173.4106,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",0.4,173.8667,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",0.9333,173,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",1.4333,173,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",1.8333,172.95,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",2,173.2667,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",3.1678,172.8258,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",3.3644,172.9835,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",3.8848,-159.3306,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6159,"Active","POIDIER","GEF","Kiribati","RBAP",4.6833,-160.3733,5379452,197799.49,26923300,115722,5379452,197799.49,26923300,0.91,24548
6161,"Active","Emissions Trading and MRV in Belarus","GEF","Belarus","RBEC",-55.4833,28.8,840000,204548.06,8067280,40.5,840000,204548.06,8067280,,
6161,"Active","Emissions Trading and MRV in Belarus","GEF","Belarus","RBEC",53.5833,25.8167,840000,204548.06,8067280,40.5,840000,204548.06,8067280,,
6163,"Active","AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level","GEF","Algeria","RBAS",36.1911,5.4136,4416210,0,40250000,1888320,4416210,0,40250000,,500
6163,"Active","AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level","GEF","Algeria","RBAS",36.365,6.6147,4416210,0,40250000,1888320,4416210,0,40250000,,500
6249,"Active","Green Sharm El Sheikh","GEF","Egypt","RBAS",27.7496,34.2359,6392694,162087.58,56690000,1100000,6392694,162087.58,56690000,2.5,7500
6249,"Active","Green Sharm El Sheikh","GEF","Egypt","RBAS",28.2781,34.38,6392694,162087.58,56690000,1100000,6392694,162087.58,56690000,2.5,7500
6249,"Active","Green Sharm El Sheikh","GEF","Egypt","RBAS",28.7321,34.6254,6392694,162087.58,56690000,1100000,6392694,162087.58,56690000,2.5,7500
6270,"Active","GEF 7: Sustainable Cities - Green Economy","GEF","Costa Rica","RBLAC",9.9346,-84.0934,10467970,149027.47,99131494,,10467970,149027.47,99131494,,2134932
6285,"Active","Circular Economy in Serbia","GEF","Serbia","RBEC",44.8149,20.1424,1777000,3608.95,14150000,95000,1777000,3608.95,14150000,1,10000
6321,"Active","Sudan national child project - Africa Minigrids Program (AMP)","GEF","Sudan","RBAS",11.0086,29.7156,2637246,0,5550000,,2637246,0,5550000,2500,144002
6321,"Active","Sudan national child project - Africa Minigrids Program (AMP)","GEF","Sudan","RBAS",12.0505,24.8795,2637246,0,5550000,,2637246,0,5550000,2500,144002
6321,"Active","Sudan national child project - Africa Minigrids Program (AMP)","GEF","Sudan","RBAS",12.6922,28.4221,2637246,0,5550000,,2637246,0,5550000,2500,144002
6321,"Active","Sudan national child project - Africa Minigrids Program (AMP)","GEF","Sudan","RBAS",12.9134,23.4738,2637246,0,5550000,,2637246,0,5550000,2500,144002
6321,"Active","Sudan national child project - Africa Minigrids Program (AMP)","GEF","Sudan","RBAS",13.4435,22.4452,2637246,0,5550000,,2637246,0,5550000,2500,144002
6323,"Active","Energy Efficiency and Thermal Comfort in Buildings","GEF","India","RBAP",17.3871,78.4917,4634357,142754.4,94859523,4010000,4634357,142754.4,94859523,,120
6323,"Active","Energy Efficiency and Thermal Comfort in Buildings","GEF","India","RBAP",22.5726,88.3639,4634357,142754.4,94859523,4010000,4634357,142754.4,94859523,,120
6323,"Active","Energy Efficiency and Thermal Comfort in Buildings","GEF","India","RBAP",26.85,80.95,4634357,142754.4,94859523,4010000,4634357,142754.4,94859523,,120
6327,"Active","Djibouti national child project - Africa Minigrids Program (AMP)","GEF","Djibouti","RBAS",11.5081,42.1037,3196347,124036.22,15840000,,3196347,124036.22,15840000,0.84,19146
6327,"Active","Djibouti national child project - Africa Minigrids Program (AMP)","GEF","Djibouti","RBAS",12.3869,43.3345,3196347,124036.22,15840000,,3196347,124036.22,15840000,0.84,19146
6333,"Active","Electric Vehicles in Indonesia (ENTREV)","GEF","Indonesia","RBAP",-8.4095,115.1889,1866500,43039.64,31473747,473773,1866500,43039.64,31473747,,321612
6333,"Active","Electric Vehicles in Indonesia (ENTREV)","GEF","Indonesia","RBAP",-6.9147,107.6098,1866500,43039.64,31473747,473773,1866500,43039.64,31473747,,321612
6333,"Active","Electric Vehicles in Indonesia (ENTREV)","GEF","Indonesia","RBAP",-6.2,106.8167,1866500,43039.64,31473747,473773,1866500,43039.64,31473747,,321612
6338,"Active","Rural Electrification for African Countries","GEF","Ethiopia","RBA",6.0586,36.7273,2890826,0,13773751,,2890826,0,13773751,0.62,31611
6338,"Active","Rural Electrification for African Countries","GEF","Ethiopia","RBA",7.4387,44.2969,2890826,0,13773751,,2890826,0,13773751,0.62,31611
6338,"Active","Rural Electrification for African Countries","GEF","Ethiopia","RBA",8.25,34.5833,2890826,0,13773751,,2890826,0,13773751,0.62,31611
6338,"Active","Rural Electrification for African Countries","GEF","Ethiopia","RBA",8.5145,39.2693,2890826,0,13773751,,2890826,0,13773751,0.62,31611
6338,"Active","Rural Electrification for African Countries","GEF","Ethiopia","RBA",9.3111,42.1278,2890826,0,13773751,,2890826,0,13773751,0.62,31611
6338,"Active","Rural Electrification for African Countries","GEF","Ethiopia","RBA",10.639,35.733,2890826,0,13773751,,2890826,0,13773751,0.62,31611
