"project_id","status","Short Title","Sources of Funds","Lead Country","Region","Latitude","Longitude","Grant Amount","GL Expenses","Co-Financing","tonnes of CO2-eq emissions avoided or reduced","grant_amount_vertical_fund","expenses_vertical_fund","cofinancing_vertical_fund","MW of renewable or low-emission energy capacity installed or rehabilitated","people directly benefiting"
4018,"Active","Energy Efficient Buildings","GEF","Iran (Islamic Republic of)","RBAP",35.7153,51.4043,4000000,3244099.81,28516760,1000000,4000000,3244099.81,28516760,,
4283,"Active","GTALCC","GEF","Malaysia","RBAP",1.4556,103.7611,4354794,3118172.98,55612266,2152033,4354794,3118172.98,55612266,,
4283,"Active","GTALCC","GEF","Malaysia","RBAP",2.3139,102.3212,4354794,3118172.98,55612266,2152033,4354794,3118172.98,55612266,,
4283,"Active","GTALCC","GEF","Malaysia","RBAP",2.9213,101.6559,4354794,3118172.98,55612266,2152033,4354794,3118172.98,55612266,,
4283,"Active","GTALCC","GEF","Malaysia","RBAP",2.9353,101.6911,4354794,3118172.98,55612266,2152033,4354794,3118172.98,55612266,,
4283,"Active","GTALCC","GEF","Malaysia","RBAP",3.1279,101.5945,4354794,3118172.98,55612266,2152033,4354794,3118172.98,55612266,,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",0.1,6.6333,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",0.1333,6.65,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",0.2167,6.5167,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",0.2456,6.6327,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",0.3627,6.6175,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",0.3667,6.6434,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4602,"Active","Sao Tome Land, Forest, Energy & Climate","GEF","Sao Tome and Principe","RBA",1.6399,7.4249,5274544,4108652.11,20705704,,5274544,4108652.11,20705704,5.5,
4670,"Active","Urban NAMA","GEF","Kazakhstan","RBEC",43.2775,76.8958,5930000,4096677,65389094,370000,5930000,4096677,65389094,,90000
4670,"Active","Urban NAMA","GEF","Kazakhstan","RBEC",44.85,65.5167,5930000,4096677,65389094,370000,5930000,4096677,65389094,,90000
4670,"Active","Urban NAMA","GEF","Kazakhstan","RBEC",49.8028,73.1056,5930000,4096677,65389094,370000,5930000,4096677,65389094,,90000
4670,"Active","Urban NAMA","GEF","Kazakhstan","RBEC",51.1694,71.4491,5930000,4096677,65389094,370000,5930000,4096677,65389094,,90000
4670,"Active","Urban NAMA","GEF","Kazakhstan","RBEC",51.9075,68.3408,5930000,4096677,65389094,370000,5930000,4096677,65389094,,90000
