country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Senkaku Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,XSK-20220530,XSK,,935,QU,XSK,JPN,30,Eastern Asia,30,Eastern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,38
Serbia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,80.0,64.0,92.0,2.3,0.2,0.000,0.000,0.000,0.802,74.2,11.4,"19,123",0%,0%,0,0,0.02,0,1,8,0.06,0.95,0,0,0,0,0,0,0,0,0,0,226,SRB_1-20220530,SRB_1,Serbia,688,RS,SRB,SRB,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,8653016
Seychelles,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.5,0.9,0.000,0.000,0.000,0.785,71.3,10.3,"25,831",0%,0%,0,0,0,-0.001,0,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,235,SYC-20220530,SYC,Seychelles,690,SC,SYC,SYC,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,53053,1705,0.9688629972,99435
Shipki Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,XSP-20220530,XSP,,936,QV,XSP,XSP,34,Southern Asia,34,Southern Asia,142,Asia,99,Sovereignty unsettled,2021/05/28,2022/05/30,intl,,,,246
Sierra Leone,2020,WorldBank,26.2,"5,886,944",54.7,"1,551,283",4.8,"4,335,661",,1.0,0.0,1.0,26.1,54,1.300,1.169,0.131,0.477,60.1,4.6,"1,622",10%,-251%,0.012,-0.356,0.036,1.18,9306,34675,0.1,8.879,0.91,1.48,0.11,0.12,0.122,0.011,0.02,0,1.017,1.601,221,SLE-20220530,SLE,Sierra Leone,694,SL,SLE,SLE,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,582463,2422547,0.1938306362,8306438
Singapore,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,n/a,,0.000,0.000,0.000,0.939,82.8,11.9,"90,919",0%,0%,0,0,-0.1,0.2,1,1,-0.2,0,0,0,0,0,0,0,0,0,0,0,212,SGP-20220530,SGP,Singapore,702,SG,SGP,SGP,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,5943552
Sint Maarten (Dutch part),2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,SXM-20220530,SXM,Sint Maarten (Neth.),534,SX,SXM,NLD,29,Caribbean,419,Latin America and the Caribbean,19,Americas,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,43970
Slovakia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.1,0.1,0.042,0.027,0.015,0.848,74.9,12.9,"30,690",0%,0%,0,0,0.1,0.4,-3,-14,0.4,5.3,0.02,0.1,0.01,0.04,0.001,0.006,0,0,0.034,0.141,230,SVK-20220530,SVK,Slovakia,703,SK,SVK,SVK,151,Eastern Europe,151,Eastern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,5460194
Slovenia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,0,0.003,0.002,0.001,0.918,80.7,12.8,"39,746",0%,0%,0,0,0.01,0.11,0,-4,0.07,1.34,0.01,0.02,0,0,0,0,0,0,0.008,0.022,231,SVN-20220530,SVN,Slovenia,705,SI,SVN,SVN,39,Southern Europe,39,Southern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,2078025
Solomon Islands,2020,WorldBank,73.3,"183,077",77.3,"38,438",72.0,"144,639",,9.0,1.0,37.0,26.6,38.7,0.001,0.001,0.000,0.564,70.3,5.7,"2,482",0%,-10%,0,-0.002,0.001,0.009,23,50,0.003,0.075,0,0,0,0,0,0,0,0,0,-0.001,220,SLB-20220530,SLB,Solomon Islands,90,SB,SLB,SLB,54,Melanesia,54,Melanesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,65766,259371,0.2022716578,721173
