country,year,data_source,ElectricityAccess_sharet,ElectricityAccess_popt,ElectricityAccess_shareu,ElectricityAccess_popu,ElectricityAccess_sharer,ElectricityAccess_popr,total_pop,Cleancooking_sharet,Cleancooking_sharer,Cleancooking_shareu,poverty_headcount,multidimensional_poverty,investment_gap_total,investment_gap_rural,investment_gap_urban,hdi,life_exp,schooling,income,poverty_reduction_2030_%,poverty_reduction_2050_%,poverty_reduction_2030_million,poverty_reduction_2050_million,GDPgains_2030_bi,GDPgains_2050_bi,cum_averteddeaths_2030,cum_averteddeaths_2050,GDPgains_cum2030_bi,GDPgains_cum2050_bi,InvRural_cum2030_bi,InvRural_cum2050_bi,InvUrban_cum2030_bi,InvUrban_cum2050_bi,InvRural_2030_bi,InvRural_2050_bi,InvUrban_2030_bi,InvUrban_2050_bi,InvTotal_cum_2030_bi,InvTotal_cum_2050_bi,fid,adm0_id,adm0_src,adm0_name,iso_cd,iso_2,iso_3,iso_3_grp,region3_cd,region3_nm,region2_cd,region2_nm,region1_cd,region1_nm,status_cd,status_nm,wld_date,wld_update,wld_view,pop_hrea_2020,pop_no_hrea_2020,hrea_2020,pop
Thailand,2020,WorldBank,100.0,0,100.0,0,100.0,0,,84.0,77.0,90.0,0,0.2,4.004,2.430,1.574,0.8,78.7,8.7,"17,030",0%,0%,0,0,1.9,11.9,13790,51189.9999999998,6,147.1,1.63,2.23,1.21,1.12,0.144,0.012,0.16,-0.02,2.841,3.346,240,THA-20220530,THA,Thailand,764,TH,THA,THA,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,34867990,7014733,0.8325148773,70078175
Timor-Leste,2020,WorldBank,96.1,"51,112",100.0,0,94.4,"51,112",,14.0,4.0,31.0,8,23.5,0.117,0.104,0.013,0.607,67.7,5.4,"4,461",-14%,-1%,-0.003,0,0.012,0.155,547,1302,0.033,1.566,0.1,0.02,0.01,0.01,0.01,0,0,0,0.111,0.025,244,TLS-20220530,TLS,Timor-Leste,626,TL,TLS,TLS,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,469588,211793,0.6891709631,1369437
Togo,2020,WorldBank,54.0,"3,808,432",94.1,"207,504",24.0,"3,600,927",,10.0,1.0,21.0,28.1,46.4,0.000,0.000,0.000,0.539,61.6,5,"2,167",1%,1%,0.001,0.002,0,0.02,1,12,0.01,0.16,0,0,0,0,0,0,0,0,0,0,239,TGO-20220530,TGO,Togo,768,TG,TGO,TGO,11,Western Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,2654186,1507525,0.63776317,8680849
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,TKL-20220530,TKL,Tokelau (NZ),772,TK,TKL,NZL,61,Polynesia,61,Polynesia,9,Oceania,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,1378
Tonga,2020,WorldBank,100.0,0,100.0,0,100.0,0,,84.0,81.0,94.0,1.1,1.1,0.000,0.000,0.000,0.745,71,11.4,"6,822",0%,-3%,0,0,0,0.001,2,2,0,0.007,0,0,0,0,0,0,0,0,-0.0003,-0.0003,245,TON-20220530,TON,Tonga,776,TO,TON,TON,61,Polynesia,61,Polynesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,,,,107741
Trinidad and Tobago,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,2.1,,0.001,0.001,0.001,0.81,73,11.6,"23,392",0%,0%,0,0,0.01,0.02,0,1,0.05,0.44,0,0,0,0,0,0,0,0,0.0004,-0.0013,246,TTO-20220530,TTO,Trinidad and Tobago,780,TT,TTO,TTO,29,Caribbean,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,391641,1641,0.9958274215,1406586
Tunisia,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.1,1.5,0.578,0.243,0.335,0.731,73.8,7.4,"10,258",0%,0%,0,-0.001,0.14,1.1,-9,15,0.45,13.15,0.2,0.12,0.26,0.18,0.025,-0.004,0.03,0,0.458,0.293,247,TUN-20220530,TUN,Tunisia,788,TN,TUN,TUN,15,Northern Africa,15,Northern Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,5297498,1203003,0.8149368795,12046648
Turkey,2020,WorldBank,100.0,0,100.0,0,100.0,0,,95.0,84.0,99.0,0.4,0.6,0.020,0.009,0.011,,,,,0%,0%,0,0,0,2,10,0,0,15,0.01,0.04,0.01,0.09,0.002,0.001,0,0.01,0.02,0.124,248,TUR-20220530,TUR,Turkey,792,TR,TUR,TUR,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,85561965
Turkmenistan,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,43.1,,0.012,0.006,0.006,0.745,69.3,11.3,"13,021",0%,0%,0,0,0.06,0.7,9,57,0.16,6.91,0.01,0,0,0,0.001,0,0,0,0.008,-0.003,243,TKM-20220530,TKM,Turkmenistan,795,TM,TKM,TKM,143,Central Asia,143,Central Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,6201945
Turks and Caicos Islands,2020,WorldBank,99.4,232,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,TCA-20220530,TCA,Turks and Caicos Islands (UK),796,TC,TCA,GBR,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,39744
Tuvalu,2020,WorldBank,99.7,37,100.0,0,99.1,37,,71.0,36.0,93.0,3.6,4.3,,,,0.641,64.5,10.6,"6,351",,,,,,,,,,,,,,,,,,,,,249,TUV-20220530,TUV,Tuvalu,798,TV,TUV,TUV,61,Polynesia,61,Polynesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,,,,12061
Türkiye,,,,,,,,,,,,,,,,,,0.838,76,8.6,"31,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,2020,WorldBank,42.1,"26,495,741",69.9,"3,438,987",32.8,"23,056,754",,0.0,0.0,1.0,42.2,52.3,12.885,11.530,1.355,0.525,62.7,5.7,"2,181",-53%,-207%,-0.32,-2.012,1.76,53.6,30560,137316,4.99,406.28,10.25,10.45,1.25,2.05,1.21,-0.162,0.17,0.03,11.503,12.501,252,UGA-20220530,UGA,Uganda,800,UG,UGA,UGA,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,5208213,18155158,0.2229221545,48432880
Ukraine,2020,WorldBank,100.0,0,100.0,0,100.0,0,,95.0,87.0,99.0,0,1.7,0.365,0.135,0.230,0.773,71.6,11.1,"13,256",0%,0%,0,0,0.1,0.4,-75,231.0000000001,0,5.1,0.13,0.16,0.23,0.3,0.013,0,0.03,0,0.364,0.463,253,UKR-20220530,UKR,Ukraine,804,UA,UKR,UKR,151,Eastern Europe,151,Eastern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,43192103
United Arab Emirates,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,,0.009,0.004,0.005,0.911,78.7,12.7,"62,574",0%,0%,0,0,0.4,2.5,2,21,1.2,28.2,0,0.01,0.01,0.04,0,0.001,0,0.01,0.009,0.048,8,ARE-20220530,ARE,United Arab Emirates,784,AE,ARE,ARE,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,10081781
United Kingdom,,"IFS, Pardee",,,,,,,,,,,,,0.332,0.191,0.141,0.929,80.7,13.4,"45,225",0%,0%,-0.001,-0.001,2,11,-40,-130.0000000001,7,147,0.17,0.49,0.11,0.11,0.02,0.01,0.01,0.03,0.277,0.601,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,GBR-20220530,GBR,United Kingdom of Great Britain and Northern Ireland,826,GB,GBR,GBR,154,Northern Europe,154,Northern Europe,150,Europe,1,State,2021/05/28,2022/05/30,intl,,,,68497861
United Republic of Tanzania,2020,WorldBank,39.9,"35,900,262",72.9,"5,702,537",22.0,"30,197,725",,4.0,1.0,11.0,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,TZA-20220530,TZA,United Republic of Tanzania,834,TZ,TZA,TZA,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,11008356,19863441,0.3565829356,63298535
United States,,,,,,,,,,,,,,,,,,0.921,77.2,13.7,"64,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,UMI_1-20220530,UMI_1,Baker Island (USA),581,UM,UMI,USA,57,Micronesia,57,Micronesia,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,0
United States Virgin Islands,2020,WorldBank,100.0,0,100.0,0,100.0,0,,0.0,0.0,0.0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,VIR-20220530,VIR,United States Virgin Islands (USA),850,VI,VIR,USA,29,Caribbean,419,Latin America and the Caribbean,19,Americas,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,103968
United States of America,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,1,1.1,1.078,0.629,0.449,,,,,0%,0%,-0.002,-0.004,10,49,-150,-249.9999999982,32,688,0.55,1.15,0.33,0.24,0.05,0.039,0,-0.03,0.88,1.391,264,USA-20220530,USA,United States of America,840,US,USA,USA,21,Northern America,21,Northern America,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,334805277
Uruguay,2020,WorldBank,100.0,0,100.0,0,100.0,0,,100.0,100.0,100.0,0.2,0.1,0.000,0.000,0.000,0.809,75.4,9,"21,269",0%,0%,0,0,0.02,0.1,0,-7.105427357601E-012,0.06,0.73,0,0,0,0,0,0,0,0,0,0,263,URY-20220530,URY,Uruguay,858,UY,URY,URY,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,1932608,48019,0.9757556572,3496015
Uzbekistan,2020,WorldBank,100.0,0,100.0,0,100.0,0,,84.0,73.0,98.0,82.2,,0.000,0.000,0.000,0.727,70.9,11.9,"7,917",0%,0%,0,0.001,0,0.1,17,30,0,0.9,0,0,0,0,0,0,0,0,-0.005,-0.005,265,UZB-20220530,UZB,Uzbekistan,860,UZ,UZB,UZB,143,Central Asia,143,Central Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,34382076
Vanuatu,2020,WorldBank,67.3,"100,336",95.6,"3,461",57.7,"96,875",,8.0,2.0,21.0,10,15.4,0.029,0.028,0.001,0.607,70.4,7.1,"3,085",-2%,-15%,-0.001,-0.001,0.008,0.075,211,535,0.024,0.8,0.02,0.01,0,0,0.002,-0.001,0,0,0.0214,0.0052,273,VUT-20220530,VUT,Vanuatu,548,VU,VUT,VUT,54,Melanesia,54,Melanesia,9,Oceania,1,State,2021/05/28,2022/05/30,intl,51668,100394,0.3397824572,321831
Venezuela (Bolivarian Republic of),2020,WorldBank,100.0,0,100.0,0,100.0,0,,97.0,88.0,99.0,7.1,,,,,0.691,70.6,11.1,"4,811",,,,,,,,,,,,,,,,,,,,,268,VEN_1-20220530,VEN_1,Venezuela (Bolivarian Republic of),862,VE,VEN,VEN,5,South America,419,Latin America and the Caribbean,19,Americas,1,State,2021/05/28,2022/05/30,intl,,,,29266992
"Venezuela, Bolivarian Republic",,"IFS, Pardee",,,,,,,,,,,,,1.391,0.490,0.901,,,,,-6%,-160%,-0.02,-0.62,0.36,5.3,156,2020,1.33,50.46,0.48,1.25,0.98,2.05,0.058,0.008,0.1,-0.02,1.457,3.308,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,2020,WorldBank,100.0,0,100.0,0,100.0,0,,65.0,56.0,82.0,1.2,2.5,3.213,1.958,1.255,0.703,73.6,8.4,"7,867",0%,0%,0.001,0,1,8.3,23300,65279.9999999999,2.8,95.6,1.54,0.41,1,0.76,0.227,-0.01,0.14,-0.02,2.535,1.175,272,VNM-20220530,VNM,Viet Nam,704,VN,VNM,VNM,35,South-eastern Asia,35,South-eastern Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,45099632,8884293,0.8354270646,98953535
Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,WLF-20220530,WLF,Wallis and Futuna Islands (Fr.),876,WF,WLF,FRA,61,Polynesia,61,Polynesia,9,Oceania,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,10979
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,ESH-20220530,ESH,Western Sahara,732,EH,ESH,MAR,15,Northern Africa,15,Northern Africa,2,Africa,3,Non-self-governing territory,2021/05/28,2022/05/30,intl,,,,626168
Yemen,2020,WorldBank,73.8,"7,826,952",93.1,"778,622",61.9,"7,048,330",,62.0,42.0,93.0,19.8,35.4,1.636,1.534,0.102,0.455,63.8,3.2,"1,314",-5%,-54%,-0.01,-0.28,0.08,1.05,6066,19691.9999999999,0.26,10.32,1.19,1.25,0.08,-0.01,0.143,-0.051,0,0,1.267,1.238,311,YEM-20220530,YEM,Yemen,887,YE,YEM,YEM,145,Western Asia,145,Western Asia,142,Asia,1,State,2021/05/28,2022/05/30,intl,,,,31154827
Zambia,2020,WorldBank,44.5,"10,198,596",82.4,"1,445,431",14.0,"8,753,165",,10.0,2.0,20.0,61.4,66.5,3.057,2.735,0.322,0.565,61.2,7.2,"3,218",-6%,-174%,-0.01,-0.68,0.58,7.6,17932,61179.9999999999,1.74,74.32,2.08,2.67,0.25,0.47,0.271,0,0.04,0.01,2.331,3.137,313,ZMB-20220530,ZMB,Zambia,894,ZM,ZMB,ZMB,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,3925467,5446826,0.4188374179,19470243
Zimbabwe,2020,WorldBank,52.7,"7,023,080",85.7,"684,529",37.1,"6,338,550",,30.0,7.0,79.0,39.8,42.4,4.242,4.109,0.133,0.593,59.3,8.7,"3,810",-17%,-123%,-0.028,-0.301,0.38,8.22,15722,59337.0000000002,1.11,68.28,3.37,4.18,0.11,0.02,0.455,-0.04,0.01,0,3.479,4.207,314,ZWE-20220530,ZWE,Zimbabwe,716,ZW,ZWE,ZWE,14,Eastern Africa,202,Sub-Saharan Africa,2,Africa,1,State,2021/05/28,2022/05/30,intl,3448711,5562356,0.3827194937,15331427
Åland Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ALA-20220530,ALA,Åland Islands (Fin.),248,AX,ALA,FIN,154,Northern Europe,154,Northern Europe,150,Europe,5,Territory/Self-governing territory,2021/05/28,2022/05/30,intl,,,,29754
