country,data_source,investment_gap_total,investment_gap_rural,investment_gap_urban
"Korea, Dem. People's Republic","IFS, Pardee",4.693,2.677,2.016
"Korea, Republic of","IFS, Pardee",0.000,0.000,0.000
Kosovo,"IFS, Pardee",0.000,0.000,0.000
Kuwait,"IFS, Pardee",0.004,0.000,0.004
Kyrgyzstan,"IFS, Pardee",0.000,0.000,0.000
Lao People's Dem. Republic,"IFS, Pardee",0.311,0.235,0.076
Latvia,"IFS, Pardee",0.000,0.000,0.000
Lebanon,"IFS, Pardee",0.084,0.010,0.074
Lesotho,"IFS, Pardee",0.528,0.496,0.032
Liberia,"IFS, Pardee",0.683,0.567,0.116
Libya,"IFS, Pardee",0.002,0.001,0.001
Lithuania,"IFS, Pardee",0.000,0.000,0.000
Luxembourg,"IFS, Pardee",0.003,0.001,0.003
"Macedonia, North","IFS, Pardee",0.000,0.000,0.000
Madagascar,"IFS, Pardee",7.402,6.160,1.242
Malawi,"IFS, Pardee",0.001,0.001,0.000
Malaysia,"IFS, Pardee",0.071,0.026,0.045
Maldives,"IFS, Pardee",0.000,0.000,0.000
Mali,"IFS, Pardee",3.349,2.863,0.486
Malta,"IFS, Pardee",0.000,0.000,0.000
Mauritania,"IFS, Pardee",0.579,0.506,0.073
Mauritius,"IFS, Pardee",0.013,0.010,0.003
Mexico,"IFS, Pardee",0.353,0.080,0.273
Micronesia,"IFS, Pardee",0.005,0.005,0.000
"Moldova, Republic of","IFS, Pardee",0.000,0.000,0.000
Mongolia,"IFS, Pardee",0.103,0.059,0.044
Montenegro,"IFS, Pardee",0.000,0.000,0.000
Morocco,"IFS, Pardee",0.773,0.318,0.455
Mozambique,"IFS, Pardee",8.433,8.071,0.362
Myanmar,"IFS, Pardee",0.065,0.051,0.014
Namibia,"IFS, Pardee",0.260,0.212,0.048
Nepal,"IFS, Pardee",4.013,3.553,0.460
Netherlands,"IFS, Pardee",0.052,0.010,0.042
New Zealand,"IFS, Pardee",0.000,0.000,0.000
Nicaragua,"IFS, Pardee",0.000,0.000,0.000
Niger,"IFS, Pardee",5.443,5.262,0.181
Nigeria,"IFS, Pardee",34.212,29.010,5.202
Norway,"IFS, Pardee",0.000,0.000,0.000
Oman,"IFS, Pardee",0.000,0.000,0.000
Pakistan,"IFS, Pardee",0.332,0.240,0.092
Palestine,"IFS, Pardee",0.007,0.003,0.004
Panama,"IFS, Pardee",0.002,0.000,0.002
Papua New Guinea,"IFS, Pardee",0.018,0.016,0.002
Paraguay,"IFS, Pardee",0.006,0.003,0.003
Peru,"IFS, Pardee",0.100,0.022,0.078
Philippines,"IFS, Pardee",7.985,5.623,2.362
Poland,"IFS, Pardee",0.089,0.054,0.035
Portugal,"IFS, Pardee",0.076,0.062,0.014
Puerto Rico,"IFS, Pardee",0.001,0.000,0.001
Qatar,"IFS, Pardee",0.001,0.000,0.001
Romania,"IFS, Pardee",0.188,0.142,0.046
Russian Federation,"IFS, Pardee",0.280,0.168,0.112
Rwanda,"IFS, Pardee",4.252,4.040,0.212
Samoa,"IFS, Pardee",0.001,0.001,0.000
Sao Tome and Principe,"IFS, Pardee",0.002,0.000,0.002
Saudi Arabia,"IFS, Pardee",0.091,0.035,0.056
Senegal,"IFS, Pardee",1.141,1.032,0.109
Serbia,"IFS, Pardee",0.000,0.000,0.000
Seychelles,"IFS, Pardee",0.000,0.000,0.000
Sierra Leone,"IFS, Pardee",1.300,1.169,0.131
Singapore,"IFS, Pardee",0.000,0.000,0.000
Slovakia,"IFS, Pardee",0.042,0.027,0.015
Slovenia,"IFS, Pardee",0.003,0.002,0.001
Solomon Islands,"IFS, Pardee",0.001,0.001,0.000
Somalia,"IFS, Pardee",1.704,1.704,0.000
South Africa,"IFS, Pardee",1.582,1.111,0.471
Spain,"IFS, Pardee",0.316,0.184,0.132
Sri Lanka,"IFS, Pardee",1.768,1.575,0.193
St. Lucia,"IFS, Pardee",0.002,0.002,0.000
St. Vincent and the Grenadines,"IFS, Pardee",0.000,0.000,0.000
Sudan,"IFS, Pardee",7.223,7.075,0.148
Sudan South,"IFS, Pardee",3.589,3.338,0.251
Suriname,"IFS, Pardee",0.000,0.000,0.000
Sweden,"IFS, Pardee",0.000,0.000,0.000
Switzerland,"IFS, Pardee",0.021,0.013,0.008
Syrian Arab Republic,"IFS, Pardee",0.659,0.659,0.000
Taiwan,"IFS, Pardee",0.154,0.027,0.127
Tajikistan,"IFS, Pardee",0.178,0.130,0.048
Tanzania,"IFS, Pardee",11.748,10.540,1.208
Thailand,"IFS, Pardee",4.004,2.430,1.574
Timor-Leste,"IFS, Pardee",0.117,0.104,0.013
Togo,"IFS, Pardee",0.000,0.000,0.000
Tonga,"IFS, Pardee",0.000,0.000,0.000
Trinidad and Tobago,"IFS, Pardee",0.001,0.001,0.001
Tunisia,"IFS, Pardee",0.578,0.243,0.335
Turkey,"IFS, Pardee",0.020,0.009,0.011
Turkmenistan,"IFS, Pardee",0.012,0.006,0.006
Uganda,"IFS, Pardee",12.885,11.530,1.355
Ukraine,"IFS, Pardee",0.365,0.135,0.230
United Arab Emirates,"IFS, Pardee",0.009,0.004,0.005
United Kingdom,"IFS, Pardee",0.332,0.191,0.141
United States of America,"IFS, Pardee",1.078,0.629,0.449
Uruguay,"IFS, Pardee",0.000,0.000,0.000
Uzbekistan,"IFS, Pardee",0.000,0.000,0.000
Vanuatu,"IFS, Pardee",0.029,0.028,0.001
"Venezuela, Bolivarian Republic","IFS, Pardee",1.391,0.490,0.901
Viet Nam,"IFS, Pardee",3.213,1.958,1.255
Yemen,"IFS, Pardee",1.636,1.534,0.102
Zambia,"IFS, Pardee",3.057,2.735,0.322
Zimbabwe,"IFS, Pardee",4.242,4.109,0.133
