country,data_source,investment_gap_total,investment_gap_rural,investment_gap_urban
Afghanistan,"IFS, Pardee",0.062,0.062,0.000
Albania,"IFS, Pardee",0.000,0.000,0.000
Algeria,"IFS, Pardee",0.514,0.142,0.372
Angola,"IFS, Pardee",3.099,2.684,0.415
Argentina,"IFS, Pardee",0.170,0.026,0.144
Armenia,"IFS, Pardee",0.000,0.000,0.000
Australia,"IFS, Pardee",0.024,0.013,0.011
Austria,"IFS, Pardee",0.029,0.024,0.005
Azerbaijan,"IFS, Pardee",0.009,0.004,0.005
Bahamas,"IFS, Pardee",0.000,0.000,0.000
Bahrain,"IFS, Pardee",0.002,0.001,0.002
Bangladesh,"IFS, Pardee",9.259,6.695,2.564
Barbados,"IFS, Pardee",0.000,0.000,0.000
Belarus,"IFS, Pardee",0.013,0.007,0.006
Belgium,"IFS, Pardee",0.008,0.001,0.007
Belize,"IFS, Pardee",0.000,0.000,0.000
Benin,"IFS, Pardee",1.820,1.580,0.240
Bhutan,"IFS, Pardee",0.076,0.053,0.023
Bolivia,"IFS, Pardee",0.000,0.000,0.000
Bosnia and Herzegovina,"IFS, Pardee",0.000,0.000,0.000
Botswana,"IFS, Pardee",0.153,0.108,0.045
Brazil,"IFS, Pardee",1.242,0.521,0.721
Brunei Darussalam,"IFS, Pardee",0.001,0.000,0.000
Bulgaria,"IFS, Pardee",0.027,0.014,0.013
Burkina Faso,"IFS, Pardee",3.436,3.436,0.000
Burundi,"IFS, Pardee",3.537,3.452,0.085
Cabo Verde,"IFS, Pardee",0.016,0.009,0.007
Cambodia,"IFS, Pardee",2.711,2.322,0.389
Cameroon,"IFS, Pardee",3.622,2.935,0.687
Canada,"IFS, Pardee",0.032,0.015,0.017
Central African Republic,"IFS, Pardee",1.627,1.421,0.206
Chad,"IFS, Pardee",5.253,4.874,0.379
Chile,"IFS, Pardee",0.040,0.017,0.023
China,"IFS, Pardee",0.000,0.000,0.000
Colombia,"IFS, Pardee",0.237,0.124,0.113
Comoros,"IFS, Pardee",0.208,0.182,0.026
Congo,"IFS, Pardee",0.458,0.430,0.028
"Congo, Dem. Republic of the","IFS, Pardee",13.627,11.920,1.707
Costa Rica,"IFS, Pardee",0.000,0.000,0.000
Cote D'Ivoire,"IFS, Pardee",1.603,1.484,0.119
Croatia,"IFS, Pardee",0.001,0.001,0.000
Cuba,"IFS, Pardee",0.132,0.065,0.067
Cyprus,"IFS, Pardee",0.000,0.000,0.000
Czech Republic,"IFS, Pardee",0.016,0.007,0.009
Denmark,"IFS, Pardee",0.000,0.000,0.000
Djibouti,"IFS, Pardee",0.035,0.035,0.000
Dominican Republic,"IFS, Pardee",0.035,0.021,0.014
Ecuador,"IFS, Pardee",0.406,0.218,0.188
Egypt,"IFS, Pardee",0.626,0.439,0.187
El Salvador,"IFS, Pardee",0.000,0.000,0.000
Equatorial Guinea,"IFS, Pardee",0.148,0.126,0.022
Eritrea,"IFS, Pardee",1.615,1.356,0.259
Estonia,"IFS, Pardee",0.000,0.000,0.000
Eswatini,"IFS, Pardee",0.115,0.104,0.011
Ethiopia,"IFS, Pardee",27.722,25.290,2.432
Fiji,"IFS, Pardee",0.007,0.007,0.000
Finland,"IFS, Pardee",0.017,0.007,0.010
France,"IFS, Pardee",0.298,0.196,0.102
Gabon,"IFS, Pardee",0.078,0.022,0.056
Gambia,"IFS, Pardee",0.194,0.150,0.044
Georgia,"IFS, Pardee",0.000,0.000,0.000
Germany,"IFS, Pardee",0.068,0.030,0.038
Ghana,"IFS, Pardee",1.660,1.329,0.331
Greece,"IFS, Pardee",0.027,0.018,0.009
Grenada,"IFS, Pardee",0.004,0.003,0.001
Guatemala,"IFS, Pardee",0.018,0.011,0.007
Guinea,"IFS, Pardee",2.225,2.178,0.047
Guinea Bissau,"IFS, Pardee",0.364,0.310,0.054
Guyana,"IFS, Pardee",0.001,0.001,0.000
Haiti,"IFS, Pardee",0.071,0.030,0.041
Honduras,"IFS, Pardee",0.000,0.000,0.000
Hong Kong,"IFS, Pardee",0.000,0.000,0.000
Hungary,"IFS, Pardee",0.120,0.067,0.053
Iceland,"IFS, Pardee",0.000,0.000,0.000
India,"IFS, Pardee",17.180,13.870,3.310
Indonesia,"IFS, Pardee",7.628,3.999,3.629
Iran,"IFS, Pardee",0.012,0.004,0.008
Iraq,"IFS, Pardee",0.295,0.094,0.201
Ireland,"IFS, Pardee",0.006,0.003,0.003
Israel,"IFS, Pardee",0.000,0.000,0.000
Italy,"IFS, Pardee",0.258,0.164,0.094
Jamaica,"IFS, Pardee",0.000,0.000,0.000
Japan,"IFS, Pardee",0.632,0.163,0.469
Jordan,"IFS, Pardee",0.003,0.001,0.002
Kazakhstan,"IFS, Pardee",0.167,0.104,0.063
Kenya,"IFS, Pardee",10.104,8.974,1.130
