,Country Name,Country Code,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Region,Economy,LDC,SIDS,LLDC,HDI,Sahel,Crisis,Unnamed: 17,Project Count,Output Count,Budget Total,Direct Beneficiaries
0,Afghanistan,AFG,4,Asia,Southern Asia,,yes,,Asia-Pacific Group,RBAP,Upper middle income,LDC,,LLDC,Low,,Crisis,,7,8,141767709.0,4011027.0
1,Åland Islands,ALA,248,Europe,Northern Europe,,,,WEOG,,,,,,,,,,0,0,0.0,0.0
2,Albania,ALB,8,Europe,Southern Europe,,yes,,Eastern European Group,RBEC,Upper middle income,,,,High,,,,5,8,158868775.77999997,8942.0
3,Algeria,DZA,12,Africa,Northern Africa,,yes,,African Group,RBAS,Lower middle income,,,,High,,,,3,3,4936210.0,750000.0
4,American Samoa,ASM,16,Oceania,Polynesia,Pacific,,,Asia-Pacific Group,,,,,,,,,,0,0,0.0,0.0
5,Andorra,AND,20,Europe,Southern Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
6,Angola,AGO,24,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Lower middle income,LDC,,,Medium,,,,3,6,24640468.0,83444.0
7,Anguilla,AIA,660,Americas,Latin America and the Caribbean,Caribbean,,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
8,Antarctica,ATA,10,,,,,,,,,,,,,,,,0,0,0.0,0.0
9,Antigua and Barbuda,ATG,28,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
10,Argentina,ARG,32,Americas,Latin America and the Caribbean,,yes,,GRULAC,RBLAC,Upper middle income,,,,Very High,,,,3,7,20452042.0,4025.0
11,Armenia,ARM,51,Asia,Western Asia,,yes,,Eastern European Group,RBEC,Upper middle income,,,LLDC,High,,,,5,5,23361327.0,339000.0
12,Aruba,ABW,533,Americas,Latin America and the Caribbean,Caribbean,,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
13,Australia,AUS,36,Oceania,Australia and New Zealand,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
14,Austria,AUT,40,Europe,Western Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
15,Azerbaijan,AZE,31,Asia,Western Asia,,yes,,Eastern European Group,RBEC,Upper middle income,,,LLDC,High,,,,2,3,6292549.0,120.0
16,Bahamas,BHS,44,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,,,,,,,,,,0,0,0.0,0.0
17,Bahrain,BHR,48,Asia,Western Asia,AIS,yes,yes,Asia-Pacific Group,RBAS,High income,,SIDS,,Very High,,,,1,1,7254715.0,0.0
18,Bangladesh,BGD,50,Asia,Southern Asia,,yes,,Asia-Pacific Group,RBAP,Lower middle income,LDC,,,Medium,,,,8,24,174834416.0,820768.486
19,Barbados,BRB,52,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,RBLAC,High income,,SIDS,,High,,,,1,4,6375344.0,28175.0
20,Belarus,BLR,112,Europe,Eastern Europe,,yes,,Eastern European Group,RBEC,Upper middle income,,,,Very High,,,,1,2,1680000.0,136600.0
21,Belgium,BEL,56,Europe,Western Europe,,yes,,WEOG,,,,,,,,,,0,0,0.0,0.0
22,Belize,BLZ,84,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,RBLAC,Upper middle income,,SIDS,,Medium,,,,3,10,26541634.55,1981.25
